"","Genus","p.value","CorCoef","CorTest","Plant"
"2010","p__Actinobacteriota,g__Ca_Microthrix",0,0.849636606122038,"Spearman","Aalborg West"
"2801","p__Patescibacteria,g__midas_g_8524",0,0.812935216119469,"Spearman","Aalborg West"
"28","p__Actinobacteriota,g__Ca_Microthrix",0,0.783867630737948,"Spearman","Total"
"1941","p__Desulfobacterota,g__midas_g_22369",0,0.743609903938064,"Spearman","Aalborg West"
"3781","p__Proteobacteria,g__Ramlibacter",0,0.737393824054983,"Spearman","Aalborg West"
"3571","p__Proteobacteria,g__midas_g_81",0,0.734923085168751,"Spearman","Aalborg West"
"547","p__Patescibacteria,g__midas_g_8524",0,0.719720679300034,"Spearman","Total"
"494","p__Actinobacteriota,g__Nocardioides",0,0.708430271855797,"Spearman","Aalborg West"
"1581","p__Chloroflexi,g__midas_g_169",0,0.707722414182186,"Spearman","Aalborg West"
"1251","p__Bacteroidota,g__midas_g_896",0,0.707072549393071,"Spearman","Aalborg West"
"910","p__Acidobacteriota,g__midas_g_2780",0,0.706799802521819,"Spearman","Aalborg West"
"553","p__Actinobacteriota,g__Tessaracoccus",0,0.704927052668566,"Spearman","Aalborg West"
"3332","p__Patescibacteria,g__midas_g_4774",0,0.703519169925826,"Spearman","Mariagerfjord"
"1815","p__Actinobacteriota,g__Ca_Microthrix",0,0.702522078707211,"Spearman","Mariagerfjord"
"941","p__Bacteroidota,g__midas_g_207",0,0.698614913628994,"Spearman","Aalborg West"
"1671","p__Chloroflexi,g__midas_g_344",0,0.694787104210289,"Spearman","Aalborg West"
"2942","p__Patescibacteria,g__midas_g_10902",0,0.694784056090017,"Spearman","Mariagerfjord"
"2831","p__Planctomycetota,g__midas_g_1221",0,0.688786094251211,"Spearman","Aalborg West"
"3502","p__Patescibacteria,g__midas_g_8524",0,0.681317696277442,"Spearman","Mariagerfjord"
"2151","p__Firmicutes,g__Fusicatenibacter",0,0.680918504184651,"Spearman","Aalborg West"
"2410","p__Actinobacteriota,g__Gordonia",0,0.678317014517943,"Spearman","Aalborg West"
"107","p__Bacteroidota,g__midas_g_385",0,0.677748924920014,"Spearman","Aalborg West"
"2411","p__Firmicutes,g__Trichococcus",0,0.676554133305322,"Spearman","Aalborg West"
"518","p__Patescibacteria,g__midas_g_4774",0,0.676528798879935,"Spearman","Total"
"1951","p__Desulfobacterota,g__midas_g_2305",0,0.675883662294719,"Spearman","Aalborg West"
"6910","p__Bacteroidota,g__Lacihabitans",0,0.66043571812598,"Spearman","Aalborg West"
"232","p__Chloroflexi,g__Ca_Amarolinea",0,0.648400926305716,"Spearman","Total"
"2631","p__Patescibacteria,g__midas_g_10902",0,0.647380804575037,"Spearman","Aalborg West"
"1410","p__Acidobacteriota,g__Stenotrophobacter",0,0.644434527784306,"Spearman","Aalborg West"
"465","p__Patescibacteria,g__midas_g_10902",0,0.639413417638843,"Spearman","Total"
"238","p__Chloroflexi,g__midas_g_105",0,0.637649634483244,"Spearman","Total"
"841","p__Bacteroidota,g__midas_g_1416",0,0.637316459283905,"Spearman","Aalborg West"
"3641","p__Proteobacteria,g__Nitrotoga",0,0.634542554944172,"Spearman","Aalborg West"
"262","p__Patescibacteria,g__midas_g_10554",0,0.634007427446999,"Spearman","Aalborg West"
"2381","p__Firmicutes,g__Subdoligranulum",0,0.631999677696299,"Spearman","Aalborg West"
"142","p__Chloroflexi,g__Ca_Sarcinithrix",0,0.629637146352529,"Spearman","Aalborg West"
"18","p__Proteobacteria,g__midas_g_454",0,0.629384032757288,"Pearson","Aalborg West"
"1511","p__Chloroflexi,g__midas_g_13592",0,0.628439576020138,"Spearman","Aalborg West"
"408","p__Verrucomicrobiota,g__midas_g_2947",0,0.627564318281205,"Spearman","Aalborg West"
"1010","p__Acidobacteriota,g__midas_g_352",0,0.627432417674851,"Spearman","Aalborg West"
"2731","p__Patescibacteria,g__midas_g_4375",0,0.62640500022441,"Spearman","Aalborg West"
"146","p__Chloroflexi,g__midas_g_1083",0,0.622522500435606,"Spearman","Aalborg West"
"239","p__Chloroflexi,g__midas_g_1083",0,0.621485460808375,"Spearman","Total"
"2741","p__Patescibacteria,g__midas_g_4774",0,0.619077893667209,"Spearman","Aalborg West"
"353","p__Firmicutes,g__Blautia",0,0.615394959252066,"Spearman","Total"
"257","p__Chloroflexi,g__midas_g_1965",0,0.614173976059105,"Spearman","Total"
"3621","p__Proteobacteria,g__Neisseria",0,0.609746405291678,"Spearman","Aalborg West"
"2112","p__Actinobacteriota,g__Ca_Microthrix",0,0.603866581752574,"Spearman","Aalborg East"
"6610","p__Bacteroidota,g__Ferruginibacter",0,0.599555449547894,"Spearman","Aalborg West"
"24","p__Actinobacteriota,g__Aeromicrobium",0,0.597618248577779,"Spearman","Total"
"3871","p__Proteobacteria,g__midas_g_155",0,0.595347357698721,"Spearman","Aalborg East"
