"","Sample","SeqRun","LibID","Read_no","ID","Line","Plant","Date","Year"
"MQ211129-87","MQ211129-87","MQ211129","LIB-Skanseverket-AS-1",NA,"Activated sludge","AS","Skansverket",2021-01-04,2021
"MQ211129-88","MQ211129-88","MQ211129","LIB-Skanseverket-AS-3",NA,"Activated sludge","AS","Skansverket",2021-01-12,2021
"MQ211129-89","MQ211129-89","MQ211129","LIB-Skanseverket-AS-5",NA,"Activated sludge","AS","Skansverket",2021-01-22,2021
"MQ211129-90","MQ211129-90","MQ211129","LIB-Skanseverket-AS-7",NA,"Activated sludge","AS","Skansverket",2021-01-27,2021
"MQ211129-91","MQ211129-91","MQ211129","LIB-Skanseverket-AS-9",NA,"Activated sludge","AS","Skansverket",2021-02-02,2021
"MQ211129-92","MQ211129-92","MQ211129","LIB-Skanseverket-AS-11",NA,"Activated sludge","AS","Skansverket",2021-02-10,2021
"MQ211129-93","MQ211129-93","MQ211129","LIB-Skanseverket-AS-13",NA,"Activated sludge","AS","Skansverket",2021-02-17,2021
"MQ211129-94","MQ211129-94","MQ211129","LIB-Skanseverket-AS-15",NA,"Activated sludge","AS","Skansverket",2021-02-24,2021
"MQ211129-95","MQ211129-95","MQ211129","LIB-Skanseverket-AS-17",NA,"Activated sludge","AS","Skansverket",2021-03-04,2021
"MQ211129-96","MQ211129-96","MQ211129","LIB-Skanseverket-AS-19",NA,"Activated sludge","AS","Skansverket",2021-03-08,2021
"MQ211129-97","MQ211129-97","MQ211129","LIB-Skanseverket-AS-21",NA,"Activated sludge","AS","Skansverket",2021-03-17,2021
"MQ211129-98","MQ211129-98","MQ211129","LIB-Skanseverket-AS-23",NA,"Activated sludge","AS","Skansverket",2021-03-25,2021
"MQ211129-99","MQ211129-99","MQ211129","LIB-Skanseverket-AS-25",NA,"Activated sludge","AS","Skansverket",2021-03-30,2021
"MQ211129-100","MQ211129-100","MQ211129","LIB-Skanseverket-AS-27",NA,"Activated sludge","AS","Skansverket",2021-04-07,2021
"MQ211129-101","MQ211129-101","MQ211129","LIB-Skanseverket-AS-29",NA,"Activated sludge","AS","Skansverket",2021-04-16,2021
"MQ211129-102","MQ211129-102","MQ211129","LIB-Skanseverket-AS-31",NA,"Activated sludge","AS","Skansverket",2021-04-22,2021
