"","Sample","SeqRun","LibID","Read_no","ID","Line","Mean","Plant","Date","Year","Period","Configuration","Design","Design2","ReturnSludgeSidestream","PrimarySetling","Digester","lat","long","Solids_AerationTank_PointMeasurement","SolidsFraction_AerationTank_PointMeasurement","SVI","DSVI","ExtractionConc","LibraryConc"
"MQ201009-91","MQ201009-91","MQ201009","LIB-Viby-LT-209",NA,"","LT","","Viby","2020-01-07",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-92","MQ201009-92","MQ201009","LIB-Viby-LT-211",NA,"","LT","","Viby","2020-01-14",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-93","MQ201009-93","MQ201009","LIB-Viby-LT-213",NA,"","LT","","Viby","2020-01-21",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-94","MQ201009-94","MQ201009","LIB-Viby-LT-215",NA,"","LT","","Viby","2020-01-28",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-95","MQ201009-95","MQ201009","LIB-Viby-LT-217",NA,"","LT","","Viby","2020-02-04",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-96","MQ201009-96","MQ201009","LIB-Viby-LT-219",NA,"","LT","","Viby","2020-02-11",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-97","MQ201009-97","MQ201009","LIB-Viby-LT-221",NA,"","LT","","Viby","2020-02-18",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-98","MQ201009-98","MQ201009","LIB-Viby-LT-223",NA,"","LT","","Viby","2020-02-25",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-99","MQ201009-99","MQ201009","LIB-Viby-LT-225",NA,"","LT","","Viby","2020-03-03",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-100","MQ201009-100","MQ201009","LIB-Viby-LT-227",NA,"","LT","","Viby","2020-03-10",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-101","MQ201009-101","MQ201009","LIB-Viby-LT-229",NA,"","LT","","Viby","2020-04-02",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-102","MQ201009-102","MQ201009","LIB-Viby-LT-231",NA,"","LT","","Viby","2020-04-07",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ201009-103","MQ201009-103","MQ201009","LIB-Viby-LT-233",NA,"","LT","","Viby","2020-04-14",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
