
DMR Smart Settling


Timestamp, LDR1, LDR2, LDR3, LDR4, LDR5, LDR6, LDR7, LDR8, LDR9, LDR10, LDR11, LDR12, LDR13, LDR14, LDR15, LDR16, LDR17, LDR18, LDR19, LDR20, LDR21, LDR22, LDR23, LDR24, LDR25

0,376,4049,4092,4091,4092,4092,4092,4087,4084,4083,4084,4084,4084,4085,4085,4084,4092,4092,4093,4093,4092,4093,4093,4093,4092
13,500,4049,4092,4092,4092,4092,4092,4090,4088,4088,4088,4088,4088,4088,4088,4087,4092,4092,4093,4093,4092,4093,4093,4093,4093
27,458,4047,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4088,4092,4093,4093,4093,4093,4093,4093,4093,4093
41,461,4047,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4089,4089,4089,4088,4092,4092,4093,4093,4093,4093,4092,4093,4093
55,468,4045,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4089,4089,4090,4089,4092,4093,4093,4093,4093,4093,4093,4093,4092
69,479,4045,4092,4092,4092,4092,4092,4091,4090,4090,4089,4089,4090,4090,4090,4089,4092,4093,4093,4092,4093,4093,4093,4093,4093
83,488,4044,4092,4092,4092,4092,4092,4091,4090,4090,4089,4089,4090,4090,4090,4089,4092,4092,4093,4092,4092,4093,4092,4093,4092
96,498,4043,4092,4092,4092,4092,4092,4091,4090,4090,4089,4089,4090,4090,4090,4089,4092,4092,4092,4093,4093,4093,4093,4093,4092
110,505,4041,4092,4092,4092,4092,4092,4091,4090,4090,4090,4089,4090,4090,4090,4089,4092,4093,4092,4093,4093,4092,4093,4093,4093
124,509,4040,4092,4092,4093,4092,4092,4091,4090,4090,4089,4089,4090,4090,4090,4089,4092,4092,4093,4093,4093,4093,4093,4093,4093
138,515,4038,4092,4092,4092,4092,4092,4091,4090,4090,4089,4089,4090,4090,4090,4089,4092,4092,4092,4093,4093,4092,4093,4093,4092
152,523,4037,4092,4092,4092,4092,4092,4091,4090,4090,4089,4089,4090,4090,4090,4089,4092,4093,4092,4093,4093,4093,4093,4093,4092
166,527,4035,4092,4092,4092,4092,4092,4091,4090,4090,4089,4089,4090,4090,4090,4089,4092,4093,4092,4093,4093,4093,4092,4093,4093
