
DMR Smart Settling


Timestamp, LDR1, LDR2, LDR3, LDR4, LDR5, LDR6, LDR7, LDR8, LDR9, LDR10, LDR11, LDR12, LDR13, LDR14, LDR15, LDR16, LDR17, LDR18, LDR19, LDR20, LDR21, LDR22, LDR23, LDR24, LDR25

0,2683,3996,4072,4083,4087,4087,4086,4081,4042,4039,4037,4036,4037,4041,4042,4036,4090,4089,4091,4091,4091,4089,4088,4092,4086
13,1344,3994,4070,4084,4087,4088,4088,4084,4049,4045,4043,4043,4043,4046,4046,4041,4090,4089,4091,4091,4091,4089,4089,4092,4089
27,1623,3978,4062,4083,4086,4088,4088,4084,4049,4046,4044,4043,4043,4045,4045,4039,4090,4089,4092,4092,4091,4089,4088,4092,4089
41,1710,3962,4055,4081,4086,4088,4088,4085,4050,4047,4046,4048,4049,4052,4052,4047,4091,4090,4092,4092,4091,4090,4090,4092,4091
55,1811,3940,4047,4081,4087,4089,4089,4086,4058,4055,4053,4050,4049,4051,4050,4044,4090,4090,4092,4092,4091,4090,4090,4092,4091
69,1885,3865,4032,4077,4086,4088,4088,4085,4050,4048,4045,4045,4044,4046,4047,4041,4090,4090,4092,4092,4091,4090,4090,4092,4092
83,1962,2822,4003,4073,4085,4087,4087,4085,4049,4045,4042,4043,4043,4046,4046,4040,4090,4090,4092,4091,4091,4090,4090,4092,4092
96,1992,912,3963,4068,4084,4087,4087,4085,4049,4044,4042,4043,4043,4045,4046,4040,4090,4089,4091,4091,4091,4090,4090,4092,4092
110,2019,906,3935,4061,4082,4087,4086,4085,4049,4045,4042,4043,4044,4046,4046,4040,4090,4089,4092,4091,4092,4091,4090,4093,4092
124,2049,926,3874,4048,4080,4087,4086,4085,4049,4045,4042,4043,4044,4046,4046,4040,4090,4089,4092,4091,4092,4091,4091,4093,4092
138,2169,953,3830,4033,4076,4086,4086,4085,4050,4046,4043,4045,4045,4047,4047,4041,4090,4090,4092,4091,4092,4091,4091,4093,4092
152,2174,990,1075,3976,4069,4085,4085,4084,4052,4048,4044,4046,4047,4049,4049,4043,4090,4090,4092,4091,4092,4091,4091,4093,4092
166,2196,1059,469,3931,4057,4083,4085,4084,4053,4049,4046,4048,4048,4050,4050,4045,4090,4090,4091,4092,4092,4091,4091,4093,4092
179,2211,1088,475,3878,4042,4081,4084,4084,4054,4050,4048,4049,4048,4051,4051,4046,4091,4090,4091,4092,4092,4092,4092,4093,4092
193,2232,1128,478,3805,4026,4077,4085,4084,4053,4049,4047,4048,4047,4050,4050,4045,4090,4089,4092,4092,4092,4092,4092,4093,4092
207,2236,1191,531,1156,3959,4072,4084,4084,4052,4049,4047,4047,4048,4049,4050,4045,4090,4090,4092,4092,4092,4092,4092,4093,4092
221,2250,1179,579,721,3910,4062,4082,4084,4054,4051,4049,4049,4049,4051,4051,4046,4090,4090,4092,4092,4092,4092,4092,4093,4092
235,2251,1230,560,700,3824,4048,4079,4083,4054,4051,4048,4049,4049,4051,4051,4046,4091,4090,4092,4092,4092,4092,4092,4093,4092
249,2260,1259,554,698,3600,4026,4072,4082,4056,4052,4051,4051,4052,4053,4053,4048,4091,4091,4092,4092,4092,4092,4093,4093,4093
263,2256,1314,577,739,690,3956,4063,4081,4054,4051,4050,4050,4051,4053,4053,4048,4091,4091,4092,4092,4092,4092,4093,4093,4093
276,2262,1300,569,839,610,3880,4052,4080,4055,4051,4049,4048,4049,4051,4051,4046,4090,4091,4092,4092,4092,4092,4092,4093,4092
290,2250,1313,598,892,602,3791,4030,4077,4053,4050,4047,4048,4049,4050,4050,4046,4091,4091,4092,4092,4093,4093,4093,4093,4092
304,2249,1337,571,911,693,629,3959,4072,4049,4045,4043,4044,4044,4046,4046,4043,4091,4091,4092,4093,4092,4093,4093,4093,4092
318,2243,1386,617,883,738,660,3908,4063,4047,4043,4041,4042,4042,4044,4044,4041,4091,4091,4092,4093,4092,4093,4093,4093,4092
332,2248,1432,598,901,782,640,3791,4052,4043,4040,4038,4039,4038,4040,4040,4037,4091,4091,4092,4093,4093,4092,4093,4093,4092
346,2245,1466,616,939,794,713,1919,4013,4037,4033,4031,4033,4032,4034,4034,4031,4092,4091,4092,4092,4092,4093,4093,4093,4092
359,2247,1463,652,943,805,783,248,3970,4031,4028,4026,4027,4027,4028,4028,4025,4091,4091,4092,4093,4092,4092,4093,4093,4092
373,2250,1466,667,922,823,835,239,3928,4015,4011,4010,4012,4012,4014,4015,4012,4091,4091,4092,4093,4092,4092,4093,4092,4092
387,2256,1483,696,939,854,838,238,3858,3997,3992,3991,3993,3992,3993,3992,3988,4091,4092,4092,4093,4092,4093,4092,4093,4093
401,2245,1578,704,971,818,874,240,1405,3938,3960,3960,3961,3960,3957,3954,3950,4091,4092,4093,4092,4092,4093,4093,4093,4092
