
DMR Smart Settling


Timestamp, LDR1, LDR2, LDR3, LDR4, LDR5, LDR6, LDR7, LDR8, LDR9, LDR10, LDR11, LDR12, LDR13, LDR14, LDR15, LDR16, LDR17, LDR18, LDR19, LDR20, LDR21, LDR22, LDR23, LDR24, LDR25

0,283,4037,4092,4092,4092,4092,4092,4088,4085,4084,4085,4085,4085,4086,4086,4085,4092,4093,4092,4092,4092,4093,4092,4093,4093
13,190,4026,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4089,4092,4093,4092,4093,4093,4093,4093,4093,4092
27,176,4008,4091,4092,4092,4092,4092,4091,4091,4090,4090,4090,4090,4090,4090,4090,4092,4092,4092,4093,4092,4093,4092,4093,4092
41,161,3989,4089,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4091,4090,4092,4092,4093,4093,4093,4093,4093,4093,4092
55,150,3972,4087,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4091,4091,4092,4093,4093,4093,4092,4093,4092,4093,4092
69,148,3951,4085,4092,4092,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4093,4092,4093,4092,4093,4093,4093,4093
83,147,3783,4080,4092,4092,4092,4092,4091,4092,4091,4091,4091,4092,4091,4091,4091,4092,4093,4092,4093,4093,4093,4093,4093,4092
96,150,1284,4049,4092,4092,4092,4092,4092,4092,4091,4091,4091,4091,4091,4092,4091,4092,4092,4092,4093,4092,4092,4093,4093,4093
110,153,1047,4040,4092,4092,4092,4092,4092,4092,4091,4091,4091,4092,4091,4091,4091,4092,4092,4093,4093,4093,4093,4093,4093,4092
124,157,992,4030,4092,4093,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4092,4093,4093,4093,4093,4093,4093,4092
138,162,991,4018,4092,4092,4092,4092,4092,4092,4091,4091,4091,4091,4092,4092,4091,4092,4092,4093,4093,4092,4093,4093,4093,4092
152,163,963,3999,4091,4092,4092,4092,4092,4092,4092,4091,4091,4091,4092,4091,4091,4092,4092,4093,4093,4092,4093,4093,4093,4093
166,162,975,3977,4089,4092,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4092,4092,4093,4093,4093,4092,4093,4092
179,160,1013,3942,4088,4092,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4093,4093,4093,4093,4092,4093,4093,4093,4092
193,162,1092,3904,4085,4092,4092,4092,4092,4092,4092,4091,4091,4091,4091,4092,4091,4092,4092,4093,4093,4092,4092,4093,4092,4092
207,164,1177,2919,4069,4092,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4093,4092,4093,4093,4093,4092,4093,4093
221,166,1237,824,4043,4092,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4093,4092,4093,4092,4092,4093,4093,4092
235,167,1298,679,4030,4092,4092,4092,4092,4092,4091,4091,4091,4091,4091,4092,4091,4092,4092,4092,4092,4093,4093,4092,4093,4093
249,167,1323,564,4012,4092,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4093,4092,4093,4092,4093,4093,4093,4093
263,167,1364,530,3986,4092,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4093,4093,4092,4092,4093,4092,4093,4093
276,166,1388,562,3953,4090,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4093,4093,4093,4092,4093,4093,4093,4092
290,168,1459,569,3898,4087,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4093,4093,4093,4093,4093,4092,4093,4092
304,169,1481,608,3810,4081,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4091,4092,4092,4093,4093,4093,4093,4093,4093,4092
318,170,1505,665,860,4038,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4091,4092,4093,4092,4093,4092,4093,4093,4093,4092
332,170,1515,687,1361,4033,4092,4092,4092,4092,4091,4091,4091,4091,4091,4091,4091,4092,4093,4092,4092,4093,4093,4093,4093,4092
