
DMR Smart Settling


Timestamp, LDR1, LDR2, LDR3, LDR4, LDR5, LDR6, LDR7, LDR8, LDR9, LDR10, LDR11, LDR12, LDR13, LDR14, LDR15, LDR16, LDR17, LDR18, LDR19, LDR20, LDR21, LDR22, LDR23, LDR24, LDR25

0,3739,4032,4069,4080,4084,4084,4083,4079,4009,4002,3997,3997,3997,4001,4002,3990,4085,4083,4088,4088,4087,4084,4083,4090,4082
13,3885,4025,4064,4079,4082,4084,4082,4079,4005,3997,3991,3991,3991,3996,3997,3986,4085,4083,4088,4088,4086,4085,4083,4090,4085
27,3334,3982,4054,4075,4082,4084,4083,4081,4022,4017,4013,4013,4013,4020,4023,4014,4087,4086,4090,4089,4088,4087,4086,4092,4089
41,3452,3910,4035,4072,4080,4084,4083,4080,4016,4009,4003,4004,4004,4006,4004,3992,4086,4085,4089,4088,4087,4086,4085,4092,4090
55,3427,1926,3955,4054,4075,4083,4082,4078,3999,3991,3983,3982,3981,3988,3989,3977,4083,4083,4088,4087,4088,4087,4086,4092,4091
69,3419,1066,3813,4013,4067,4080,4080,4078,4004,4006,4005,4011,4013,4018,4021,4013,4088,4086,4090,4091,4090,4090,4089,4092,4092
83,3646,992,650,3863,4029,4072,4079,4078,3999,3993,3985,3988,3987,3989,3991,3982,4085,4084,4089,4090,4089,4090,4090,4093,4092
96,3575,1084,582,3136,3898,4050,4073,4076,4006,4000,3994,3994,3996,3999,4001,3992,4087,4085,4089,4090,4090,4091,4091,4093,4092
110,3702,1273,552,750,3462,3989,4055,4075,4005,3998,3995,3996,3995,4000,4001,3991,4087,4087,4090,4091,4091,4091,4092,4093,4092
124,3762,1129,598,741,614,3676,3996,4063,3999,3991,3984,3988,3989,3994,3996,3985,4088,4087,4091,4091,4092,4091,4092,4093,4092
138,3794,1262,573,722,670,861,3709,4035,3985,3973,3966,3967,3967,3970,3972,3964,4088,4088,4092,4092,4092,4092,4092,4093,4092
