
DMR Smart Settling


Timestamp, LDR1, LDR2, LDR3, LDR4, LDR5, LDR6, LDR7, LDR8, LDR9, LDR10, LDR11, LDR12, LDR13, LDR14, LDR15, LDR16, LDR17, LDR18, LDR19, LDR20, LDR21, LDR22, LDR23, LDR24, LDR25

0,3655,4086,4092,4092,4092,4092,4092,4087,4084,4084,4084,4084,4085,4085,4086,4084,4092,4092,4092,4092,4093,4092,4093,4093,4092
13,3492,4081,4092,4092,4092,4092,4092,4090,4089,4088,4088,4088,4088,4088,4088,4087,4093,4092,4093,4093,4093,4092,4092,4093,4092
27,3526,4080,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4088,4092,4092,4093,4093,4092,4093,4093,4093,4092
41,3541,4080,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4089,4089,4089,4089,4092,4092,4092,4093,4092,4093,4093,4093,4092
55,3567,4080,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4090,4090,4090,4089,4092,4092,4092,4093,4093,4092,4093,4093,4092
69,3580,4080,4092,4092,4092,4092,4092,4091,4090,4090,4089,4089,4090,4090,4090,4089,4092,4092,4092,4093,4093,4093,4093,4093,4092
83,3589,4079,4092,4092,4092,4092,4092,4091,4090,4090,4090,4089,4090,4090,4090,4089,4092,4092,4093,4093,4092,4093,4092,4093,4093
96,3688,4081,4092,4092,4092,4092,4092,4091,4090,4090,4089,4089,4090,4090,4090,4089,4092,4092,4092,4092,4092,4093,4093,4093,4092
110,3592,4078,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4089,4089,4089,4089,4092,4093,4092,4092,4093,4093,4092,4093,4092
124,3787,4082,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4090,4090,4090,4089,4092,4092,4092,4093,4092,4093,4093,4093,4092
138,3723,4080,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4092,4092,4092,4093,4092,4092,4093,4093,4092
152,1695,4055,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4089,4089,4089,4088,4092,4092,4092,4093,4093,4093,4093,4093,4092
166,3498,4076,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4089,4089,4089,4088,4092,4092,4093,4093,4092,4093,4093,4093,4092
179,3462,4075,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4089,4089,4089,4088,4092,4092,4092,4093,4092,4093,4093,4093,4092
193,3394,4074,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4089,4089,4089,4088,4092,4093,4093,4092,4092,4093,4093,4092,4092
207,3386,4074,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4092,4092,4092,4093,4092,4093,4093,4093,4092
221,3335,4072,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4092,4092,4092,4093,4093,4093,4092,4093,4092
235,3400,4073,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4088,4092,4093,4092,4092,4092,4093,4093,4093,4093
249,3414,4073,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4092,4092,4092,4093,4092,4093,4093,4093,4092
263,3406,4073,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4092,4093,4092,4093,4093,4093,4093,4093,4092
276,3427,4074,4092,4092,4092,4092,4092,4091,4090,4089,4089,4089,4089,4089,4089,4089,4092,4092,4093,4093,4092,4093,4093,4093,4092
290,3442,4073,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4092,4092,4092,4092,4092,4092,4092,4093,4092
304,3517,4073,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4092,4093,4093,4093,4093,4092,4093,4093,4092
318,3592,4073,4092,4092,4092,4092,4092,4092,4090,4090,4089,4089,4089,4089,4089,4089,4092,4092,4093,4092,4092,4093,4093,4093,4092
332,3600,4073,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4092,4092,4093,4093,4092,4093,4092,4093,4093
346,3572,4073,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4090,4089,4092,4092,4092,4093,4092,4093,4093,4093,4092
359,3495,4070,4092,4092,4092,4092,4092,4092,4090,4089,4089,4089,4089,4089,4089,4089,4092,4092,4093,4093,4092,4093,4093,4093,4093
