
DMR Smart Settling


Timestamp, LDR1, LDR2, LDR3, LDR4, LDR5, LDR6, LDR7, LDR8, LDR9, LDR10, LDR11, LDR12, LDR13, LDR14, LDR15, LDR16, LDR17, LDR18, LDR19, LDR20, LDR21, LDR22, LDR23, LDR24, LDR25

0,1145,4059,4085,4082,4083,4084,4084,4080,4011,3997,3987,3985,3984,3987,3988,3975,4084,4082,4087,4087,4085,4083,4082,4088,4084
13,1103,4054,4087,4086,4088,4088,4088,4084,4057,4055,4054,4056,4058,4061,4066,4067,4092,4092,4093,4093,4092,4090,4089,4092,4089
27,1328,4055,4084,4083,4084,4084,4083,4080,4014,4007,4001,4000,4000,4003,4004,3996,4087,4085,4089,4089,4088,4087,4085,4090,4086
41,1487,4055,4083,4082,4082,4083,4082,4079,4001,3994,3988,3989,4001,4014,4019,4013,4087,4086,4090,4090,4091,4090,4090,4092,4091
55,1455,4056,4087,4087,4089,4089,4089,4086,4061,4057,4053,4053,4054,4056,4060,4059,4092,4091,4092,4092,4090,4088,4087,4091,4088
69,1536,4053,4083,4082,4083,4083,4082,4079,4005,3997,3990,3990,3990,3994,3995,3984,4084,4083,4088,4088,4086,4084,4083,4089,4087
83,1537,4052,4082,4081,4081,4082,4081,4078,3995,3987,3981,3982,3981,3986,3988,3977,4084,4082,4088,4087,4085,4084,4085,4090,4089
96,1549,4054,4085,4083,4083,4083,4082,4079,4003,3996,3990,3991,3990,3995,3996,3986,4084,4083,4088,4088,4086,4085,4083,4089,4088
110,1621,4051,4082,4082,4082,4083,4082,4079,4000,3993,3987,3987,3987,3992,3994,3984,4084,4083,4088,4087,4086,4084,4083,4089,4088
124,1704,4052,4082,4082,4083,4083,4082,4079,4004,3997,3991,3992,3991,3995,3996,3986,4084,4083,4088,4087,4086,4084,4083,4089,4088
138,1807,4050,4082,4082,4082,4083,4081,4079,4000,3994,3988,3989,3988,3992,3993,3984,4084,4083,4088,4088,4086,4085,4084,4090,4089
152,1912,4051,4083,4083,4083,4084,4083,4080,4008,4001,3996,3997,3997,4001,4003,3994,4085,4083,4089,4088,4087,4085,4084,4090,4089
166,1928,4050,4083,4083,4084,4084,4083,4080,4009,4002,3997,3998,3997,4002,4003,3995,4085,4084,4089,4088,4086,4085,4084,4090,4089
179,1913,4047,4082,4083,4084,4084,4083,4080,4010,4003,3998,3998,3998,4002,4003,3995,4085,4084,4089,4088,4086,4085,4084,4090,4090
193,2012,4045,4082,4083,4083,4084,4083,4080,4007,4000,3994,3994,3993,3997,3999,3989,4085,4083,4089,4088,4086,4085,4084,4090,4090
