
DMR Smart Settling


Timestamp, LDR1, LDR2, LDR3, LDR4, LDR5, LDR6, LDR7, LDR8, LDR9, LDR10, LDR11, LDR12, LDR13, LDR14, LDR15, LDR16, LDR17, LDR18, LDR19, LDR20, LDR21, LDR22, LDR23, LDR24, LDR25

0,3752,4080,4091,4090,4092,4092,4092,4085,4077,4077,4077,4078,4078,4079,4080,4077,4092,4092,4093,4093,4092,4092,4093,4093,4092
13,3828,4070,4090,4092,4092,4092,4092,4088,4083,4083,4082,4082,4082,4083,4083,4081,4092,4092,4092,4093,4092,4093,4093,4093,4092
27,3866,4062,4088,4092,4093,4092,4092,4089,4084,4083,4082,4082,4082,4083,4083,4081,4092,4093,4092,4093,4093,4093,4093,4093,4092
41,3834,4046,4086,4092,4092,4092,4092,4089,4084,4083,4082,4082,4083,4083,4083,4081,4092,4092,4093,4093,4093,4093,4093,4093,4092
55,3670,4017,4082,4091,4092,4092,4092,4089,4084,4083,4082,4082,4083,4083,4083,4081,4092,4093,4092,4093,4093,4093,4093,4093,4093
69,3569,3963,4075,4090,4092,4092,4092,4089,4084,4083,4082,4082,4083,4083,4083,4082,4092,4092,4093,4093,4093,4093,4093,4093,4093
83,3593,3787,4060,4090,4092,4092,4092,4090,4084,4083,4082,4082,4082,4083,4083,4081,4092,4093,4092,4093,4093,4093,4093,4093,4093
96,3585,999,4008,4085,4092,4092,4092,4090,4084,4083,4083,4083,4083,4084,4083,4082,4092,4093,4093,4093,4092,4093,4093,4093,4093
110,3588,878,3942,4080,4091,4092,4092,4090,4083,4082,4081,4082,4082,4083,4083,4081,4092,4093,4093,4093,4093,4093,4093,4093,4093
124,3572,871,3696,4060,4089,4092,4092,4090,4084,4083,4082,4083,4083,4083,4083,4082,4092,4093,4092,4092,4093,4093,4093,4093,4093
138,3606,846,487,3974,4082,4091,4092,4090,4084,4083,4083,4083,4083,4083,4083,4082,4092,4092,4093,4093,4093,4093,4093,4093,4092
152,3616,846,481,3715,4054,4089,4092,4090,4084,4083,4083,4083,4083,4083,4083,4082,4092,4093,4092,4093,4093,4093,4093,4093,4093
166,3627,836,478,577,3949,4083,4091,4089,4084,4083,4082,4082,4083,4083,4083,4082,4092,4093,4092,4093,4092,4092,4093,4093,4093
