
DMR Smart Settling


Timestamp, LDR1, LDR2, LDR3, LDR4, LDR5, LDR6, LDR7, LDR8, LDR9, LDR10, LDR11, LDR12, LDR13, LDR14, LDR15, LDR16, LDR17, LDR18, LDR19, LDR20, LDR21, LDR22, LDR23, LDR24, LDR25

0,1185,4032,4090,4091,4092,4092,4092,4087,4081,4081,4081,4081,4082,4083,4083,4081,4092,4093,4093,4093,4093,4093,4093,4093,4093
13,295,4013,4087,4092,4092,4092,4092,4089,4086,4086,4086,4086,4086,4086,4086,4085,4092,4093,4093,4093,4093,4093,4093,4093,4092
27,305,3988,4082,4091,4092,4092,4092,4090,4087,4087,4086,4086,4087,4087,4087,4086,4092,4093,4093,4093,4093,4093,4093,4093,4093
41,320,3873,4069,4090,4092,4092,4092,4090,4088,4087,4087,4087,4087,4087,4087,4086,4092,4093,4093,4093,4093,4093,4093,4093,4093
55,339,972,4007,4086,4092,4092,4092,4090,4087,4087,4086,4086,4086,4087,4087,4086,4092,4093,4092,4093,4093,4093,4093,4093,4092
69,341,827,3889,4067,4090,4092,4092,4090,4087,4086,4086,4086,4086,4086,4086,4085,4092,4093,4093,4093,4093,4093,4093,4093,4093
83,345,819,480,3972,4077,4091,4092,4090,4086,4086,4085,4085,4086,4086,4086,4085,4092,4093,4092,4093,4093,4093,4093,4093,4093
96,348,806,461,1644,3995,4084,4091,4090,4086,4085,4084,4084,4085,4085,4085,4084,4092,4093,4092,4093,4093,4093,4093,4093,4093
110,352,820,430,548,3749,4048,4087,4089,4085,4084,4083,4083,4084,4084,4084,4083,4092,4093,4093,4093,4093,4093,4093,4093,4093
124,358,871,461,522,711,3865,4062,4086,4084,4083,4082,4083,4083,4083,4083,4082,4092,4093,4093,4093,4093,4093,4093,4093,4093
138,359,872,474,516,657,522,3915,4071,4078,4077,4077,4077,4077,4077,4077,4076,4092,4093,4093,4093,4093,4093,4093,4093,4093
152,362,931,452,544,530,585,321,3969,4061,4059,4057,4056,4055,4053,4051,4048,4092,4093,4092,4092,4093,4093,4093,4093,4093
166,363,915,459,561,496,508,244,2619,3975,3986,3982,3977,3972,3966,3959,3953,4091,4093,4093,4093,4093,4093,4093,4093,4093
179,362,944,501,578,493,654,226,499,3693,3742,3744,3738,3731,3724,3719,3712,4088,4092,4093,4093,4092,4093,4093,4093,4093
193,363,956,520,577,608,447,244,545,558,3229,3553,3574,3568,3569,3587,3586,4086,4093,4093,4093,4093,4093,4093,4093,4093
207,364,882,484,524,536,571,230,433,707,306,3223,3449,3462,3465,3467,3469,4085,4092,4093,4093,4093,4093,4093,4093,4093
221,365,991,473,589,525,538,227,436,494,293,3132,3402,3426,3430,3429,3423,4084,4093,4093,4093,4093,4093,4093,4093,4093
235,366,936,496,576,520,534,229,468,492,207,209,3104,3289,3304,3310,3310,4083,4093,4093,4093,4092,4093,4093,4093,4093
249,364,1065,502,585,564,515,235,474,525,163,49,3008,3240,3257,3262,3258,4082,4093,4093,4093,4093,4093,4093,4093,4092
263,368,1024,496,594,484,550,243,489,531,198,37,2603,3133,3185,3189,3188,4081,4093,4093,4093,4093,4093,4093,4093,4093
276,369,984,509,621,554,555,231,532,583,169,44,193,2956,3144,3155,3158,4081,4093,4093,4093,4093,4093,4093,4093,4093
290,370,1026,517,614,521,550,234,535,611,169,40,179,2887,3117,3130,3133,4080,4093,4093,4093,4093,4093,4093,4093,4093
304,371,1069,493,549,550,503,234,524,584,189,40,144,2599,3033,3068,3069,4079,4093,4093,4093,4093,4093,4093,4093,4093
318,371,1064,517,559,568,552,233,499,576,223,39,124,163,2861,3020,3026,4079,4092,4093,4093,4093,4093,4093,4093,4093
332,372,1093,523,664,574,523,233,514,624,232,38,120,266,2855,3013,3019,4079,4093,4093,4093,4093,4093,4093,4093,4093
346,374,1118,558,657,591,531,235,499,567,220,38,134,238,2825,3005,3013,4079,4093,4093,4093,4093,4093,4093,4093,4093
359,375,877,558,690,585,551,238,491,547,175,41,144,234,2928,3168,3180,4081,4093,4093,4093,4093,4093,4093,4093,4093
373,377,1155,560,649,613,571,234,484,540,209,37,139,188,2290,2891,2943,4078,4093,4093,4093,4093,4093,4093,4093,4093
387,376,1163,568,726,625,572,236,488,550,178,36,149,204,115,3005,3050,4079,4093,4093,4093,4093,4093,4093,4093,4093
401,377,1178,580,694,628,597,240,485,530,179,38,149,174,92,2816,2938,4078,4092,4093,4093,4093,4093,4093,4093,4092
415,377,1193,578,730,644,595,234,537,546,177,36,141,173,82,2800,2925,4077,4093,4093,4093,4093,4093,4093,4093,4093
429,376,1173,600,735,671,611,240,486,535,187,37,154,177,78,2787,2928,4077,4093,4093,4093,4092,4093,4093,4093,4093
442,376,1215,602,749,670,614,241,492,541,196,37,159,201,79,2737,2903,4077,4093,4093,4093,4093,4093,4093,4093,4093
456,377,1225,613,753,699,644,243,481,549,186,36,138,212,78,2608,2878,4077,4093,4093,4093,4093,4093,4093,4093,4093
470,375,1219,610,777,700,652,245,484,543,203,36,133,216,85,1834,2805,4076,4092,4093,4093,4093,4093,4093,4093,4093
484,377,1265,622,787,708,649,249,492,531,188,36,136,211,103,129,2744,4076,4093,4093,4093,4092,4093,4093,4093,4093
498,377,1252,625,813,720,659,243,514,532,191,37,138,184,80,114,2801,4077,4093,4093,4093,4093,4093,4093,4093,4093
512,377,1271,636,796,709,629,255,524,509,187,36,147,189,75,111,2797,4077,4093,4093,4093,4092,4093,4093,4093,4093
525,378,1283,652,789,752,700,255,539,550,160,36,143,191,76,107,2731,4076,4093,4093,4093,4093,4093,4093,4093,4093
539,379,1283,650,804,742,689,257,549,551,180,36,148,193,77,105,2788,4077,4093,4093,4093,4093,4093,4093,4093,4093
553,378,1276,648,829,735,694,257,552,572,186,38,146,201,80,112,2973,4079,4093,4093,4093,4093,4093,4093,4093,4093
567,379,1284,657,805,741,677,256,580,595,190,38,146,205,77,117,2851,4078,4093,4092,4093,4093,4093,4093,4093,4093
