"","Sensor_no.","Timestamp","Height","Volume"
"1","LDR1",13,319,1078.17248189974
"12","LDR2",27,306,1034.23441837404
"19","LDR3",27,293,990.296354848347
"30","LDR3",41,293,990.296354848347
"31","LDR3",55,293,990.296354848347
"20","LDR4",69,280,946.358291322652
"21","LDR5",69,267,902.420227796958
"34","LDR5",83,267,902.420227796958
"18","LDR25",96,7,23.6589572830663
"22","LDR6",96,254,858.482164271263
"23","LDR7",96,241,814.544100745569
"24","LDR8",110,228,770.606037219874
"25","LDR9",124,215,726.667973694179
"2","LDR10",138,202,682.729910168485
"3","LDR11",138,189,638.79184664279
"4","LDR12",152,176,594.853783117096
"43","LDR12",166,176,594.853783117096
"5","LDR13",179,163,550.915719591401
"6","LDR14",193,150,506.977656065707
"7","LDR15",207,137,463.039592540012
"47","LDR15",221,137,463.039592540012
"48","LDR15",235,137,463.039592540012
"8","LDR16",249,124,419.101529014317
"50","LDR16",262,124,419.101529014317
"51","LDR16",276,124,419.101529014317
"52","LDR16",290,124,419.101529014317
"9","LDR17",304,111,375.163465488623
"54","LDR17",318,111,375.163465488623
"55","LDR17",332,111,375.163465488623
"56","LDR17",346,111,375.163465488623
"57","LDR17",359,111,375.163465488623
"58","LDR17",373,111,375.163465488623
"59","LDR17",387,111,375.163465488623
"60","LDR17",401,111,375.163465488623
"10","LDR18",415,98,331.225401962928
"62","LDR18",429,98,331.225401962928
"16","LDR23",442,33,111.535084334455
"64","LDR23",456,33,111.535084334455
"65","LDR23",470,33,111.535084334455
"66","LDR23",484,33,111.535084334455
"27","LDR23",498,33,111.535084334455
"28","LDR23",512,33,111.535084334455
"29","LDR23",525,33,111.535084334455
"70","LDR23",539,33,111.535084334455
"71","LDR23",553,33,111.535084334455
"32","LDR23",567,33,111.535084334455
"33","LDR23",581,33,111.535084334455
"74","LDR23",595,33,111.535084334455
"11","LDR19",608,85,287.287338437234
"36","LDR19",622,85,287.287338437234
"37","LDR19",636,85,287.287338437234
"38","LDR19",650,85,287.287338437234
"39","LDR19",664,85,287.287338437234
"40","LDR19",678,85,287.287338437234
"41","LDR19",692,85,287.287338437234
"42","LDR19",705,85,287.287338437234
"83","LDR19",719,85,287.287338437234
"44","LDR19",733,85,287.287338437234
"45","LDR19",747,85,287.287338437234
"46","LDR19",761,85,287.287338437234
"87","LDR19",775,85,287.287338437234
"88","LDR19",788,85,287.287338437234
"49","LDR19",802,85,287.287338437234
"90","LDR19",816,85,287.287338437234
"91","LDR19",830,85,287.287338437234
"92","LDR19",844,85,287.287338437234
"53","LDR19",858,85,287.287338437234
"94","LDR19",871,85,287.287338437234
"95","LDR19",885,85,287.287338437234
"96","LDR19",899,85,287.287338437234
"97","LDR19",913,85,287.287338437234
"98","LDR19",927,85,287.287338437234
"13","LDR20",941,72,243.349274911539
"100","LDR20",955,72,243.349274911539
"61","LDR20",968,72,243.349274911539
"102","LDR20",982,72,243.349274911539
"63","LDR20",996,72,243.349274911539
"104","LDR20",1010,72,243.349274911539
"105","LDR20",1024,72,243.349274911539
"106","LDR20",1038,72,243.349274911539
"67","LDR20",1051,72,243.349274911539
"68","LDR20",1065,72,243.349274911539
"69","LDR20",1079,72,243.349274911539
"110","LDR20",1093,72,243.349274911539
"111","LDR20",1107,72,243.349274911539
"72","LDR20",1121,72,243.349274911539
"73","LDR20",1134,72,243.349274911539
"114","LDR20",1148,72,243.349274911539
"35","LDR20",1162,72,243.349274911539
"76","LDR20",1176,72,243.349274911539
"77","LDR20",1190,72,243.349274911539
"78","LDR20",1204,72,243.349274911539
"17","LDR24",1217,20,67.5970208087609
"80","LDR24",1231,20,67.5970208087609
"81","LDR24",1245,20,67.5970208087609
"82","LDR24",1259,20,67.5970208087609
"123","LDR24",1273,20,67.5970208087609
"84","LDR24",1287,20,67.5970208087609
"85","LDR24",1301,20,67.5970208087609
"86","LDR24",1314,20,67.5970208087609
"127","LDR24",1328,20,67.5970208087609
"115","LDR24",1342,20,67.5970208087609
"89","LDR24",1356,20,67.5970208087609
"126","LDR24",1370,20,67.5970208087609
"131","LDR24",1384,20,67.5970208087609
"119","LDR24",1397,20,67.5970208087609
"93","LDR24",1411,20,67.5970208087609
"130","LDR24",1425,20,67.5970208087609
"135","LDR24",1439,20,67.5970208087609
"136","LDR24",1453,20,67.5970208087609
"137","LDR24",1467,20,67.5970208087609
"134","LDR24",1480,20,67.5970208087609
"99","LDR24",1494,20,67.5970208087609
"140","LDR24",1508,20,67.5970208087609
"101","LDR24",1522,20,67.5970208087609
"129","LDR24",1536,20,67.5970208087609
"103","LDR24",1550,20,67.5970208087609
"142","LDR24",1563,20,67.5970208087609
"132","LDR24",1577,20,67.5970208087609
"133","LDR24",1591,20,67.5970208087609
"107","LDR24",1605,20,67.5970208087609
"108","LDR24",1619,20,67.5970208087609
"109","LDR24",1633,20,67.5970208087609
"138","LDR24",1647,20,67.5970208087609
"139","LDR24",1660,20,67.5970208087609
"112","LDR24",1674,20,67.5970208087609
"14","LDR21",1688,59,199.411211385845
"15","LDR22",1688,46,155.47314786015
"75","LDR22",1702,46,155.47314786015
"116","LDR22",1716,46,155.47314786015
"117","LDR22",1730,46,155.47314786015
"118","LDR22",1743,46,155.47314786015
"79","LDR22",1757,46,155.47314786015
"120","LDR22",1771,46,155.47314786015
"121","LDR22",1785,46,155.47314786015
"122","LDR22",1799,46,155.47314786015
"141","LDR22",1813,46,155.47314786015
"124","LDR22",1826,46,155.47314786015
"125","LDR22",1840,46,155.47314786015
"113","LDR22",1854,46,155.47314786015
"128","LDR22",1868,46,155.47314786015
