"","Sensor_no.","Timestamp","Height","Volume"
"12","LDR2",13,306,1034.23441837404
"28","LDR2",27,306,1034.23441837404
"29","LDR2",41,306,1034.23441837404
"1","LDR1",55,319,1078.17248189974
"31","LDR1",69,319,1078.17248189974
"32","LDR1",83,319,1078.17248189974
"14","LDR21",96,59,199.411211385845
"20","LDR4",96,280,946.358291322652
"35","LDR4",110,280,946.358291322652
"36","LDR4",124,280,946.358291322652
"21","LDR5",138,267,902.420227796958
"38","LDR5",152,267,902.420227796958
"22","LDR6",166,254,858.482164271263
"15","LDR22",179,46,155.47314786015
"16","LDR23",179,33,111.535084334455
"23","LDR7",193,241,814.544100745569
"43","LDR7",207,241,814.544100745569
"24","LDR8",221,228,770.606037219874
"45","LDR8",235,228,770.606037219874
"25","LDR9",249,215,726.667973694179
"47","LDR9",262,215,726.667973694179
"48","LDR9",276,215,726.667973694179
"2","LDR10",290,202,682.729910168485
"50","LDR10",304,202,682.729910168485
"51","LDR10",318,202,682.729910168485
"3","LDR11",332,189,638.79184664279
"53","LDR11",346,189,638.79184664279
"54","LDR11",359,189,638.79184664279
"55","LDR11",373,189,638.79184664279
"56","LDR11",387,189,638.79184664279
"4","LDR12",401,176,594.853783117096
"58","LDR12",415,176,594.853783117096
"59","LDR12",429,176,594.853783117096
"18","LDR25",442,7,23.6589572830663
"61","LDR25",456,7,23.6589572830663
"62","LDR25",470,7,23.6589572830663
"63","LDR25",484,7,23.6589572830663
"5","LDR13",498,163,550.915719591401
"65","LDR13",512,163,550.915719591401
"66","LDR13",525,163,550.915719591401
"27","LDR13",539,163,550.915719591401
"68","LDR13",553,163,550.915719591401
"69","LDR13",567,163,550.915719591401
"30","LDR13",581,163,550.915719591401
"71","LDR13",595,163,550.915719591401
"6","LDR14",609,150,506.977656065707
"33","LDR14",622,150,506.977656065707
"34","LDR14",636,150,506.977656065707
"75","LDR14",650,150,506.977656065707
"76","LDR14",664,150,506.977656065707
"37","LDR14",678,150,506.977656065707
"78","LDR14",692,150,506.977656065707
"39","LDR14",705,150,506.977656065707
"40","LDR14",719,150,506.977656065707
"41","LDR14",733,150,506.977656065707
"42","LDR14",747,150,506.977656065707
"7","LDR15",761,137,463.039592540012
"44","LDR15",775,137,463.039592540012
"13","LDR20",788,72,243.349274911539
"46","LDR20",802,72,243.349274911539
"87","LDR20",816,72,243.349274911539
"88","LDR20",830,72,243.349274911539
"49","LDR20",844,72,243.349274911539
"90","LDR20",858,72,243.349274911539
"91","LDR20",871,72,243.349274911539
"52","LDR20",885,72,243.349274911539
"80","LDR20",899,72,243.349274911539
"94","LDR20",913,72,243.349274911539
"95","LDR20",927,72,243.349274911539
"83","LDR20",941,72,243.349274911539
"57","LDR20",955,72,243.349274911539
"98","LDR20",968,72,243.349274911539
"8","LDR16",982,124,419.101529014317
"60","LDR16",996,124,419.101529014317
"101","LDR16",1010,124,419.101529014317
"102","LDR16",1024,124,419.101529014317
"103","LDR16",1038,124,419.101529014317
"64","LDR16",1051,124,419.101529014317
"105","LDR16",1065,124,419.101529014317
"93","LDR16",1079,124,419.101529014317
"67","LDR16",1093,124,419.101529014317
"108","LDR16",1107,124,419.101529014317
"96","LDR16",1121,124,419.101529014317
"70","LDR16",1134,124,419.101529014317
"111","LDR16",1148,124,419.101529014317
"72","LDR16",1162,124,419.101529014317
"73","LDR16",1176,124,419.101529014317
"74","LDR16",1190,124,419.101529014317
"115","LDR16",1204,124,419.101529014317
"116","LDR16",1218,124,419.101529014317
"77","LDR16",1231,124,419.101529014317
"118","LDR16",1245,124,419.101529014317
"79","LDR16",1259,124,419.101529014317
"9","LDR17",1273,111,375.163465488623
"81","LDR17",1287,111,375.163465488623
"82","LDR17",1301,111,375.163465488623
"17","LDR24",1314,20,67.5970208087609
"84","LDR24",1328,20,67.5970208087609
"85","LDR24",1342,20,67.5970208087609
"19","LDR3",1356,293,990.296354848347
"114","LDR3",1370,293,990.296354848347
"124","LDR3",1384,293,990.296354848347
"89","LDR3",1397,293,990.296354848347
"126","LDR3",1411,293,990.296354848347
"127","LDR3",1425,293,990.296354848347
"92","LDR3",1439,293,990.296354848347
"120","LDR3",1453,293,990.296354848347
"117","LDR3",1467,293,990.296354848347
"109","LDR3",1480,293,990.296354848347
"123","LDR3",1494,293,990.296354848347
"97","LDR3",1508,293,990.296354848347
"112","LDR3",1522,293,990.296354848347
"86","LDR3",1536,293,990.296354848347
"100","LDR3",1550,293,990.296354848347
"133","LDR3",1564,293,990.296354848347
"125","LDR3",1577,293,990.296354848347
"131","LDR3",1591,293,990.296354848347
"104","LDR3",1605,293,990.296354848347
"106","LDR3",1619,293,990.296354848347
"129","LDR3",1633,293,990.296354848347
"107","LDR3",1647,293,990.296354848347
"122","LDR3",1660,293,990.296354848347
"128","LDR3",1674,293,990.296354848347
"110","LDR3",1688,293,990.296354848347
"121","LDR3",1702,293,990.296354848347
"99","LDR3",1716,293,990.296354848347
"10","LDR18",1730,98,331.225401962928
"11","LDR19",1730,85,287.287338437234
"130","LDR19",1743,85,287.287338437234
"132","LDR19",1757,85,287.287338437234
"113","LDR19",1771,85,287.287338437234
"119","LDR19",1785,85,287.287338437234
