"","Sensor_no.","Timestamp","Height","Volume"
"15","LDR22",13,46,155.47314786015
"19","LDR3",27,293,990.296354848347
"29","LDR3",41,293,990.296354848347
"1","LDR1",55,319,1078.17248189974
"20","LDR4",69,280,946.358291322652
"21","LDR5",83,267,902.420227796958
"33","LDR5",96,267,902.420227796958
"12","LDR2",110,306,1034.23441837404
"22","LDR6",110,254,858.482164271263
"23","LDR7",124,241,814.544100745569
"24","LDR8",138,228,770.606037219874
"25","LDR9",152,215,726.667973694179
"2","LDR10",166,202,682.729910168485
"3","LDR11",180,189,638.79184664279
"41","LDR11",194,189,638.79184664279
"4","LDR12",207,176,594.853783117096
"43","LDR12",221,176,594.853783117096
"5","LDR13",235,163,550.915719591401
"45","LDR13",249,163,550.915719591401
"6","LDR14",263,150,506.977656065707
"47","LDR14",277,150,506.977656065707
"48","LDR14",291,150,506.977656065707
"49","LDR14",304,150,506.977656065707
"7","LDR15",318,137,463.039592540012
"51","LDR15",332,137,463.039592540012
"52","LDR15",346,137,463.039592540012
"53","LDR15",360,137,463.039592540012
"54","LDR15",374,137,463.039592540012
"16","LDR23",387,33,111.535084334455
"8","LDR16",401,124,419.101529014317
"57","LDR16",415,124,419.101529014317
"58","LDR16",429,124,419.101529014317
"18","LDR25",443,7,23.6589572830663
"60","LDR25",457,7,23.6589572830663
"17","LDR24",470,20,67.5970208087609
"62","LDR24",484,20,67.5970208087609
"63","LDR24",498,20,67.5970208087609
"9","LDR17",512,111,375.163465488623
"65","LDR17",526,111,375.163465488623
"66","LDR17",540,111,375.163465488623
"27","LDR17",553,111,375.163465488623
"28","LDR17",567,111,375.163465488623
"69","LDR17",581,111,375.163465488623
"30","LDR17",595,111,375.163465488623
"31","LDR17",609,111,375.163465488623
"32","LDR17",623,111,375.163465488623
"73","LDR17",637,111,375.163465488623
"34","LDR17",650,111,375.163465488623
"35","LDR17",664,111,375.163465488623
"36","LDR17",678,111,375.163465488623
"10","LDR18",692,98,331.225401962928
"38","LDR18",706,98,331.225401962928
"39","LDR18",720,98,331.225401962928
"40","LDR18",733,98,331.225401962928
"81","LDR18",747,98,331.225401962928
"42","LDR18",761,98,331.225401962928
"83","LDR18",775,98,331.225401962928
"44","LDR18",789,98,331.225401962928
"85","LDR18",803,98,331.225401962928
"46","LDR18",816,98,331.225401962928
"87","LDR18",830,98,331.225401962928
"88","LDR18",844,98,331.225401962928
"89","LDR18",858,98,331.225401962928
"50","LDR18",872,98,331.225401962928
"91","LDR18",886,98,331.225401962928
"92","LDR18",899,98,331.225401962928
"93","LDR18",913,98,331.225401962928
"94","LDR18",927,98,331.225401962928
"55","LDR18",941,98,331.225401962928
"56","LDR18",955,98,331.225401962928
"97","LDR18",969,98,331.225401962928
"98","LDR18",983,98,331.225401962928
"11","LDR19",996,85,287.287338437234
"100","LDR19",1010,85,287.287338437234
"61","LDR19",1024,85,287.287338437234
"102","LDR19",1038,85,287.287338437234
"103","LDR19",1052,85,287.287338437234
"64","LDR19",1066,85,287.287338437234
"105","LDR19",1079,85,287.287338437234
"106","LDR19",1093,85,287.287338437234
"67","LDR19",1107,85,287.287338437234
"68","LDR19",1121,85,287.287338437234
"96","LDR19",1135,85,287.287338437234
"70","LDR19",1149,85,287.287338437234
"71","LDR19",1162,85,287.287338437234
"72","LDR19",1176,85,287.287338437234
"109","LDR19",1190,85,287.287338437234
"74","LDR19",1204,85,287.287338437234
"75","LDR19",1218,85,287.287338437234
"76","LDR19",1232,85,287.287338437234
"37","LDR19",1246,85,287.287338437234
"78","LDR19",1259,85,287.287338437234
"79","LDR19",1273,85,287.287338437234
"80","LDR19",1287,85,287.287338437234
"117","LDR19",1301,85,287.287338437234
"82","LDR19",1315,85,287.287338437234
"123","LDR19",1329,85,287.287338437234
"84","LDR19",1342,85,287.287338437234
"112","LDR19",1356,85,287.287338437234
"86","LDR19",1370,85,287.287338437234
"127","LDR19",1384,85,287.287338437234
"124","LDR19",1398,85,287.287338437234
"125","LDR19",1412,85,287.287338437234
"90","LDR19",1425,85,287.287338437234
"130","LDR19",1439,85,287.287338437234
"119","LDR19",1453,85,287.287338437234
"120","LDR19",1467,85,287.287338437234
"122","LDR19",1481,85,287.287338437234
"95","LDR19",1495,85,287.287338437234
"13","LDR20",1508,72,243.349274911539
"14","LDR21",1508,59,199.411211385845
"121","LDR21",1522,59,199.411211385845
"59","LDR21",1536,59,199.411211385845
"133","LDR21",1550,59,199.411211385845
"101","LDR21",1564,59,199.411211385845
"126","LDR21",1578,59,199.411211385845
"113","LDR21",1592,59,199.411211385845
"104","LDR21",1605,59,199.411211385845
"128","LDR21",1619,59,199.411211385845
"129","LDR21",1633,59,199.411211385845
"107","LDR21",1647,59,199.411211385845
"108","LDR21",1661,59,199.411211385845
"131","LDR21",1675,59,199.411211385845
"110","LDR21",1688,59,199.411211385845
"111","LDR21",1702,59,199.411211385845
"99","LDR21",1716,59,199.411211385845
"132","LDR21",1730,59,199.411211385845
"114","LDR21",1744,59,199.411211385845
"115","LDR21",1758,59,199.411211385845
"116","LDR21",1771,59,199.411211385845
"77","LDR21",1785,59,199.411211385845
"118","LDR21",1799,59,199.411211385845
