"","Sensor_no.","Timestamp","Height","Volume"
"12","LDR2",13,306,1034.23441837404
"1","LDR1",27,319,1078.17248189974
"19","LDR3",41,293,990.296354848347
"30","LDR3",55,293,990.296354848347
"20","LDR4",69,280,946.358291322652
"32","LDR4",83,280,946.358291322652
"21","LDR5",96,267,902.420227796958
"22","LDR6",110,254,858.482164271263
"35","LDR6",124,254,858.482164271263
"23","LDR7",138,241,814.544100745569
"24","LDR8",152,228,770.606037219874
"38","LDR8",166,228,770.606037219874
"25","LDR9",179,215,726.667973694179
"2","LDR10",193,202,682.729910168485
"41","LDR10",207,202,682.729910168485
"3","LDR11",221,189,638.79184664279
"43","LDR11",235,189,638.79184664279
"4","LDR12",249,176,594.853783117096
"45","LDR12",262,176,594.853783117096
"46","LDR12",276,176,594.853783117096
"5","LDR13",290,163,550.915719591401
"48","LDR13",304,163,550.915719591401
"49","LDR13",318,163,550.915719591401
"50","LDR13",332,163,550.915719591401
"6","LDR14",346,150,506.977656065707
"52","LDR14",359,150,506.977656065707
"53","LDR14",373,150,506.977656065707
"54","LDR14",387,150,506.977656065707
"55","LDR14",401,150,506.977656065707
"56","LDR14",415,150,506.977656065707
"7","LDR15",429,137,463.039592540012
"58","LDR15",442,137,463.039592540012
"59","LDR15",456,137,463.039592540012
"60","LDR15",470,137,463.039592540012
"61","LDR15",484,137,463.039592540012
"62","LDR15",498,137,463.039592540012
"63","LDR15",512,137,463.039592540012
"64","LDR15",525,137,463.039592540012
"65","LDR15",539,137,463.039592540012
"8","LDR16",553,124,419.101529014317
"27","LDR16",567,124,419.101529014317
"28","LDR16",581,124,419.101529014317
"29","LDR16",595,124,419.101529014317
"70","LDR16",609,124,419.101529014317
"31","LDR16",622,124,419.101529014317
"72","LDR16",636,124,419.101529014317
"33","LDR16",650,124,419.101529014317
"34","LDR16",664,124,419.101529014317
"75","LDR16",678,124,419.101529014317
"36","LDR16",692,124,419.101529014317
"37","LDR16",705,124,419.101529014317
"9","LDR17",719,111,375.163465488623
"39","LDR17",733,111,375.163465488623
"40","LDR17",747,111,375.163465488623
"81","LDR17",761,111,375.163465488623
"42","LDR17",775,111,375.163465488623
"83","LDR17",788,111,375.163465488623
"44","LDR17",802,111,375.163465488623
"85","LDR17",816,111,375.163465488623
"86","LDR17",830,111,375.163465488623
"47","LDR17",844,111,375.163465488623
"88","LDR17",858,111,375.163465488623
"89","LDR17",871,111,375.163465488623
"90","LDR17",885,111,375.163465488623
"51","LDR17",899,111,375.163465488623
"92","LDR17",913,111,375.163465488623
"93","LDR17",927,111,375.163465488623
"94","LDR17",941,111,375.163465488623
"95","LDR17",955,111,375.163465488623
"96","LDR17",968,111,375.163465488623
"10","LDR18",982,98,331.225401962928
"98","LDR18",996,98,331.225401962928
"99","LDR18",1010,98,331.225401962928
"100","LDR18",1024,98,331.225401962928
"101","LDR18",1038,98,331.225401962928
"102","LDR18",1051,98,331.225401962928
"103","LDR18",1065,98,331.225401962928
"91","LDR18",1079,98,331.225401962928
"105","LDR18",1093,98,331.225401962928
"66","LDR18",1107,98,331.225401962928
"67","LDR18",1121,98,331.225401962928
"68","LDR18",1134,98,331.225401962928
"69","LDR18",1148,98,331.225401962928
"97","LDR18",1162,98,331.225401962928
"71","LDR18",1176,98,331.225401962928
"112","LDR18",1190,98,331.225401962928
"73","LDR18",1204,98,331.225401962928
"74","LDR18",1217,98,331.225401962928
"115","LDR18",1231,98,331.225401962928
"76","LDR18",1245,98,331.225401962928
"77","LDR18",1259,98,331.225401962928
"78","LDR18",1273,98,331.225401962928
"79","LDR18",1287,98,331.225401962928
"80","LDR18",1301,98,331.225401962928
"121","LDR18",1314,98,331.225401962928
"82","LDR18",1328,98,331.225401962928
"110","LDR18",1342,98,331.225401962928
"84","LDR18",1356,98,331.225401962928
"125","LDR18",1370,98,331.225401962928
"126","LDR18",1384,98,331.225401962928
"87","LDR18",1397,98,331.225401962928
"128","LDR18",1411,98,331.225401962928
"129","LDR18",1425,98,331.225401962928
"117","LDR18",1439,98,331.225401962928
"11","LDR19",1453,85,287.287338437234
"132","LDR19",1467,85,287.287338437234
"133","LDR19",1480,85,287.287338437234
"134","LDR19",1494,85,287.287338437234
"135","LDR19",1508,85,287.287338437234
"123","LDR19",1522,85,287.287338437234
"57","LDR19",1536,85,287.287338437234
"138","LDR19",1550,85,287.287338437234
"139","LDR19",1564,85,287.287338437234
"127","LDR19",1577,85,287.287338437234
"141","LDR19",1591,85,287.287338437234
"142","LDR19",1605,85,287.287338437234
"130","LDR19",1619,85,287.287338437234
"131","LDR19",1633,85,287.287338437234
"144","LDR19",1647,85,287.287338437234
"106","LDR19",1660,85,287.287338437234
"107","LDR19",1674,85,287.287338437234
"108","LDR19",1688,85,287.287338437234
"109","LDR19",1702,85,287.287338437234
