"","Sensor_no.","Timestamp","Height","Volume"
"19","LDR3",27,293,990.296354848347
"29","LDR3",41,293,990.296354848347
"20","LDR4",55,280,946.358291322652
"1","LDR1",69,319,1078.17248189974
"21","LDR5",69,267,902.420227796958
"12","LDR2",83,306,1034.23441837404
"22","LDR6",83,254,858.482164271263
"23","LDR7",96,241,814.544100745569
"18","LDR25",110,7,23.6589572830663
"24","LDR8",110,228,770.606037219874
"25","LDR9",110,215,726.667973694179
"2","LDR10",124,202,682.729910168485
"3","LDR11",138,189,638.79184664279
"4","LDR12",152,176,594.853783117096
"5","LDR13",166,163,550.915719591401
"6","LDR14",179,150,506.977656065707
"7","LDR15",193,137,463.039592540012
"45","LDR15",207,137,463.039592540012
"8","LDR16",221,124,419.101529014317
"47","LDR16",235,124,419.101529014317
"9","LDR17",249,111,375.163465488623
"49","LDR17",262,111,375.163465488623
"50","LDR17",276,111,375.163465488623
"51","LDR17",290,111,375.163465488623
"52","LDR17",304,111,375.163465488623
"10","LDR18",318,98,331.225401962928
"54","LDR18",332,98,331.225401962928
"55","LDR18",346,98,331.225401962928
"56","LDR18",359,98,331.225401962928
"57","LDR18",373,98,331.225401962928
"58","LDR18",387,98,331.225401962928
"59","LDR18",401,98,331.225401962928
"60","LDR18",415,98,331.225401962928
"61","LDR18",429,98,331.225401962928
"11","LDR19",442,85,287.287338437234
"63","LDR19",456,85,287.287338437234
"64","LDR19",470,85,287.287338437234
"65","LDR19",484,85,287.287338437234
"66","LDR19",498,85,287.287338437234
"67","LDR19",512,85,287.287338437234
"28","LDR19",525,85,287.287338437234
"69","LDR19",539,85,287.287338437234
"30","LDR19",553,85,287.287338437234
"31","LDR19",567,85,287.287338437234
"32","LDR19",581,85,287.287338437234
"33","LDR19",595,85,287.287338437234
"34","LDR19",608,85,287.287338437234
"13","LDR20",622,72,243.349274911539
"36","LDR20",636,72,243.349274911539
"37","LDR20",650,72,243.349274911539
"38","LDR20",664,72,243.349274911539
"39","LDR20",678,72,243.349274911539
"40","LDR20",692,72,243.349274911539
"41","LDR20",705,72,243.349274911539
"42","LDR20",719,72,243.349274911539
"43","LDR20",733,72,243.349274911539
"44","LDR20",747,72,243.349274911539
"85","LDR20",761,72,243.349274911539
"46","LDR20",775,72,243.349274911539
