"","Sensor_no.","Timestamp","Height","Volume"
"12","LDR2",27,306,1034.23441837404
"19","LDR3",41,293,990.296354848347
"30","LDR3",55,293,990.296354848347
"20","LDR4",69,280,946.358291322652
"21","LDR5",83,267,902.420227796958
"22","LDR6",96,254,858.482164271263
"23","LDR7",110,241,814.544100745569
"24","LDR8",124,228,770.606037219874
"25","LDR9",124,215,726.667973694179
"2","LDR10",138,202,682.729910168485
"3","LDR11",138,189,638.79184664279
"4","LDR12",152,176,594.853783117096
"5","LDR13",166,163,550.915719591401
"6","LDR14",166,150,506.977656065707
"7","LDR15",179,137,463.039592540012
"18","LDR25",179,7,23.6589572830663
"8","LDR16",193,124,419.101529014317
"17","LDR24",207,20,67.5970208087609
"9","LDR17",221,111,375.163465488623
"47","LDR17",235,111,375.163465488623
"48","LDR17",249,111,375.163465488623
"49","LDR17",263,111,375.163465488623
"10","LDR18",276,98,331.225401962928
"51","LDR18",290,98,331.225401962928
"52","LDR18",304,98,331.225401962928
"53","LDR18",318,98,331.225401962928
"54","LDR18",332,98,331.225401962928
"55","LDR18",346,98,331.225401962928
"56","LDR18",359,98,331.225401962928
"11","LDR19",373,85,287.287338437234
"58","LDR19",387,85,287.287338437234
"59","LDR19",401,85,287.287338437234
"60","LDR19",415,85,287.287338437234
"61","LDR19",429,85,287.287338437234
"62","LDR19",443,85,287.287338437234
"63","LDR19",456,85,287.287338437234
"64","LDR19",470,85,287.287338437234
"65","LDR19",484,85,287.287338437234
"66","LDR19",498,85,287.287338437234
"67","LDR19",512,85,287.287338437234
"28","LDR19",526,85,287.287338437234
"29","LDR19",539,85,287.287338437234
"13","LDR20",553,72,243.349274911539
"31","LDR20",567,72,243.349274911539
"32","LDR20",581,72,243.349274911539
"33","LDR20",595,72,243.349274911539
"34","LDR20",609,72,243.349274911539
"35","LDR20",622,72,243.349274911539
"36","LDR20",636,72,243.349274911539
"37","LDR20",650,72,243.349274911539
"38","LDR20",664,72,243.349274911539
"39","LDR20",678,72,243.349274911539
"40","LDR20",692,72,243.349274911539
"41","LDR20",706,72,243.349274911539
"42","LDR20",719,72,243.349274911539
"43","LDR20",733,72,243.349274911539
"44","LDR20",747,72,243.349274911539
"45","LDR20",761,72,243.349274911539
"46","LDR20",775,72,243.349274911539
"87","LDR20",789,72,243.349274911539
"88","LDR20",802,72,243.349274911539
"89","LDR20",816,72,243.349274911539
"50","LDR20",830,72,243.349274911539
"91","LDR20",844,72,243.349274911539
"92","LDR20",858,72,243.349274911539
"93","LDR20",872,72,243.349274911539
"94","LDR20",886,72,243.349274911539
"95","LDR20",899,72,243.349274911539
"96","LDR20",913,72,243.349274911539
"14","LDR21",927,59,199.411211385845
"98","LDR21",941,59,199.411211385845
"99","LDR21",955,59,199.411211385845
"100","LDR21",969,59,199.411211385845
"101","LDR21",982,59,199.411211385845
"102","LDR21",996,59,199.411211385845
"103","LDR21",1010,59,199.411211385845
"104","LDR21",1024,59,199.411211385845
"105","LDR21",1038,59,199.411211385845
"106","LDR21",1052,59,199.411211385845
"107","LDR21",1066,59,199.411211385845
"68","LDR21",1079,59,199.411211385845
"69","LDR21",1093,59,199.411211385845
"70","LDR21",1107,59,199.411211385845
"71","LDR21",1121,59,199.411211385845
"72","LDR21",1135,59,199.411211385845
"73","LDR21",1149,59,199.411211385845
"74","LDR21",1162,59,199.411211385845
"75","LDR21",1176,59,199.411211385845
"76","LDR21",1190,59,199.411211385845
"77","LDR21",1204,59,199.411211385845
"78","LDR21",1218,59,199.411211385845
"79","LDR21",1232,59,199.411211385845
"80","LDR21",1245,59,199.411211385845
"81","LDR21",1259,59,199.411211385845
"82","LDR21",1273,59,199.411211385845
"83","LDR21",1287,59,199.411211385845
"84","LDR21",1301,59,199.411211385845
"85","LDR21",1315,59,199.411211385845
"86","LDR21",1329,59,199.411211385845
"123","LDR21",1342,59,199.411211385845
"124","LDR21",1356,59,199.411211385845
"129","LDR21",1370,59,199.411211385845
"90","LDR21",1384,59,199.411211385845
"127","LDR21",1398,59,199.411211385845
"128","LDR21",1412,59,199.411211385845
"133","LDR21",1425,59,199.411211385845
"134","LDR21",1439,59,199.411211385845
"131","LDR21",1453,59,199.411211385845
"110","LDR21",1467,59,199.411211385845
"57","LDR21",1481,59,199.411211385845
"125","LDR21",1495,59,199.411211385845
"135","LDR21",1509,59,199.411211385845
"132","LDR21",1522,59,199.411211385845
"137","LDR21",1536,59,199.411211385845
"138","LDR21",1550,59,199.411211385845
"139","LDR21",1564,59,199.411211385845
"136","LDR21",1578,59,199.411211385845
"141","LDR21",1592,59,199.411211385845
"142","LDR21",1605,59,199.411211385845
"143","LDR21",1619,59,199.411211385845
"108","LDR21",1633,59,199.411211385845
"109","LDR21",1647,59,199.411211385845
"97","LDR21",1661,59,199.411211385845
"111","LDR21",1675,59,199.411211385845
"1","LDR1",1688,319,1078.17248189974
"113","LDR1",1702,319,1078.17248189974
"114","LDR1",1716,319,1078.17248189974
"115","LDR1",1730,319,1078.17248189974
"116","LDR1",1744,319,1078.17248189974
"117","LDR1",1758,319,1078.17248189974
"118","LDR1",1772,319,1078.17248189974
"119","LDR1",1785,319,1078.17248189974
"120","LDR1",1799,319,1078.17248189974
"121","LDR1",1813,319,1078.17248189974
"122","LDR1",1827,319,1078.17248189974
"15","LDR22",1841,46,155.47314786015
"16","LDR23",1841,33,111.535084334455
"112","LDR23",1855,33,111.535084334455
"126","LDR23",1868,33,111.535084334455
"145","LDR23",1882,33,111.535084334455
"146","LDR23",1896,33,111.535084334455
"140","LDR23",1910,33,111.535084334455
"130","LDR23",1924,33,111.535084334455
"147","LDR23",1938,33,111.535084334455
"148","LDR23",1952,33,111.535084334455
"144","LDR23",1965,33,111.535084334455
