"","Sensor_no.","Timestamp","Height","Volume"
"1","LDR1",13,319,1078.17248189974
"9","LDR17",13,111,375.163465488623
"11","LDR19",13,85,287.287338437234
"30","LDR19",27,85,287.287338437234
"31","LDR19",41,85,287.287338437234
"32","LDR19",55,85,287.287338437234
"33","LDR19",69,85,287.287338437234
"34","LDR19",83,85,287.287338437234
"35","LDR19",96,85,287.287338437234
"36","LDR19",110,85,287.287338437234
"17","LDR24",124,20,67.5970208087609
"38","LDR24",138,20,67.5970208087609
"39","LDR24",152,20,67.5970208087609
"40","LDR24",166,20,67.5970208087609
"12","LDR2",179,306,1034.23441837404
"42","LDR2",193,306,1034.23441837404
"43","LDR2",207,306,1034.23441837404
"19","LDR3",221,293,990.296354848347
"45","LDR3",235,293,990.296354848347
"46","LDR3",249,293,990.296354848347
"47","LDR3",262,293,990.296354848347
"48","LDR3",276,293,990.296354848347
"49","LDR3",290,293,990.296354848347
"50","LDR3",304,293,990.296354848347
"51","LDR3",318,293,990.296354848347
"52","LDR3",332,293,990.296354848347
"53","LDR3",346,293,990.296354848347
"54","LDR3",359,293,990.296354848347
"55","LDR3",373,293,990.296354848347
"56","LDR3",387,293,990.296354848347
"57","LDR3",401,293,990.296354848347
"58","LDR3",415,293,990.296354848347
"59","LDR3",429,293,990.296354848347
"60","LDR3",442,293,990.296354848347
"61","LDR3",456,293,990.296354848347
"62","LDR3",470,293,990.296354848347
"63","LDR3",484,293,990.296354848347
"64","LDR3",498,293,990.296354848347
"65","LDR3",512,293,990.296354848347
"10","LDR18",525,98,331.225401962928
"27","LDR18",539,98,331.225401962928
"28","LDR18",553,98,331.225401962928
"29","LDR18",567,98,331.225401962928
"70","LDR18",581,98,331.225401962928
"71","LDR18",595,98,331.225401962928
"72","LDR18",609,98,331.225401962928
"73","LDR18",622,98,331.225401962928
"74","LDR18",636,98,331.225401962928
"75","LDR18",650,98,331.225401962928
"76","LDR18",664,98,331.225401962928
"37","LDR18",678,98,331.225401962928
"78","LDR18",692,98,331.225401962928
"79","LDR18",705,98,331.225401962928
"20","LDR4",719,280,946.358291322652
"41","LDR4",733,280,946.358291322652
"82","LDR4",747,280,946.358291322652
"83","LDR4",761,280,946.358291322652
"44","LDR4",775,280,946.358291322652
"13","LDR20",788,72,243.349274911539
"14","LDR21",788,59,199.411211385845
"87","LDR21",802,59,199.411211385845
"88","LDR21",816,59,199.411211385845
"89","LDR21",830,59,199.411211385845
"90","LDR21",844,59,199.411211385845
"91","LDR21",858,59,199.411211385845
"92","LDR21",871,59,199.411211385845
"93","LDR21",885,59,199.411211385845
"94","LDR21",899,59,199.411211385845
"95","LDR21",913,59,199.411211385845
"96","LDR21",927,59,199.411211385845
"97","LDR21",941,59,199.411211385845
"98","LDR21",955,59,199.411211385845
"15","LDR22",968,46,155.47314786015
"18","LDR25",968,7,23.6589572830663
"101","LDR25",982,7,23.6589572830663
"102","LDR25",996,7,23.6589572830663
