"","Sensor_no.","Timestamp","Height","Volume"
"19","LDR3",55,293,990.296354848347
"31","LDR3",69,293,990.296354848347
"32","LDR3",83,293,990.296354848347
"1","LDR1",96,319,1078.17248189974
"17","LDR24",96,20,67.5970208087609
"35","LDR24",110,20,67.5970208087609
"36","LDR24",124,20,67.5970208087609
"37","LDR24",138,20,67.5970208087609
"38","LDR24",152,20,67.5970208087609
"39","LDR24",166,20,67.5970208087609
"15","LDR22",179,46,155.47314786015
"16","LDR23",179,33,111.535084334455
"9","LDR17",193,111,375.163465488623
"10","LDR18",193,98,331.225401962928
"11","LDR19",193,85,287.287338437234
"13","LDR20",193,72,243.349274911539
"14","LDR21",193,59,199.411211385845
"20","LDR4",193,280,946.358291322652
"48","LDR4",207,280,946.358291322652
"49","LDR4",221,280,946.358291322652
"50","LDR4",235,280,946.358291322652
"51","LDR4",249,280,946.358291322652
"52","LDR4",262,280,946.358291322652
"53","LDR4",276,280,946.358291322652
"54","LDR4",290,280,946.358291322652
"55","LDR4",304,280,946.358291322652
"21","LDR5",318,267,902.420227796958
"57","LDR5",332,267,902.420227796958
"58","LDR5",346,267,902.420227796958
"59","LDR5",359,267,902.420227796958
"60","LDR5",373,267,902.420227796958
"61","LDR5",387,267,902.420227796958
"62","LDR5",401,267,902.420227796958
"63","LDR5",415,267,902.420227796958
"64","LDR5",429,267,902.420227796958
"22","LDR6",442,254,858.482164271263
"66","LDR6",456,254,858.482164271263
"67","LDR6",470,254,858.482164271263
"12","LDR2",484,306,1034.23441837404
"69","LDR2",498,306,1034.23441837404
"30","LDR2",512,306,1034.23441837404
"71","LDR2",525,306,1034.23441837404
"72","LDR2",539,306,1034.23441837404
"23","LDR7",553,241,814.544100745569
"34","LDR7",567,241,814.544100745569
"75","LDR7",581,241,814.544100745569
"76","LDR7",595,241,814.544100745569
"77","LDR7",609,241,814.544100745569
"78","LDR7",623,241,814.544100745569
"79","LDR7",637,241,814.544100745569
"40","LDR7",650,241,814.544100745569
"24","LDR8",664,228,770.606037219874
"42","LDR8",678,228,770.606037219874
"43","LDR8",692,228,770.606037219874
"44","LDR8",706,228,770.606037219874
"45","LDR8",720,228,770.606037219874
"8","LDR16",733,124,419.101529014317
"47","LDR16",747,124,419.101529014317
"88","LDR16",761,124,419.101529014317
"25","LDR9",775,215,726.667973694179
"90","LDR9",789,215,726.667973694179
"91","LDR9",803,215,726.667973694179
"92","LDR9",816,215,726.667973694179
"93","LDR9",830,215,726.667973694179
"94","LDR9",844,215,726.667973694179
"95","LDR9",858,215,726.667973694179
"56","LDR9",872,215,726.667973694179
"2","LDR10",886,202,682.729910168485
"98","LDR10",900,202,682.729910168485
"99","LDR10",913,202,682.729910168485
"100","LDR10",927,202,682.729910168485
"101","LDR10",941,202,682.729910168485
"102","LDR10",955,202,682.729910168485
"103","LDR10",969,202,682.729910168485
"104","LDR10",983,202,682.729910168485
"65","LDR10",996,202,682.729910168485
"106","LDR10",1010,202,682.729910168485
"3","LDR11",1024,189,638.79184664279
"68","LDR11",1038,189,638.79184664279
"109","LDR11",1052,189,638.79184664279
"70","LDR11",1066,189,638.79184664279
"111","LDR11",1079,189,638.79184664279
"112","LDR11",1093,189,638.79184664279
"33","LDR11",1107,189,638.79184664279
"74","LDR11",1121,189,638.79184664279
"115","LDR11",1135,189,638.79184664279
"116","LDR11",1149,189,638.79184664279
"117","LDR11",1162,189,638.79184664279
"4","LDR12",1176,176,594.853783117096
"119","LDR12",1190,176,594.853783117096
"80","LDR12",1204,176,594.853783117096
"41","LDR12",1218,176,594.853783117096
"82","LDR12",1232,176,594.853783117096
"83","LDR12",1246,176,594.853783117096
"84","LDR12",1259,176,594.853783117096
"85","LDR12",1273,176,594.853783117096
"46","LDR12",1287,176,594.853783117096
"87","LDR12",1301,176,594.853783117096
"128","LDR12",1315,176,594.853783117096
"89","LDR12",1329,176,594.853783117096
"18","LDR25",1342,7,23.6589572830663
"5","LDR13",1356,163,550.915719591401
"132","LDR13",1370,163,550.915719591401
"120","LDR13",1384,163,550.915719591401
"121","LDR13",1398,163,550.915719591401
"135","LDR13",1412,163,550.915719591401
"96","LDR13",1425,163,550.915719591401
"97","LDR13",1439,163,550.915719591401
"134","LDR13",1453,163,550.915719591401
"113","LDR13",1467,163,550.915719591401
"140","LDR13",1481,163,550.915719591401
"137","LDR13",1495,163,550.915719591401
"138","LDR13",1509,163,550.915719591401
"139","LDR13",1522,163,550.915719591401
"131","LDR13",1536,163,550.915719591401
"105","LDR13",1550,163,550.915719591401
"133","LDR13",1564,163,550.915719591401
"6","LDR14",1578,150,506.977656065707
"108","LDR14",1592,150,506.977656065707
"136","LDR14",1605,150,506.977656065707
"110","LDR14",1619,150,506.977656065707
"142","LDR14",1633,150,506.977656065707
"126","LDR14",1647,150,506.977656065707
"73","LDR14",1661,150,506.977656065707
"114","LDR14",1675,150,506.977656065707
"144","LDR14",1688,150,506.977656065707
"145","LDR14",1702,150,506.977656065707
"143","LDR14",1716,150,506.977656065707
"118","LDR14",1730,150,506.977656065707
"141","LDR14",1744,150,506.977656065707
"107","LDR14",1758,150,506.977656065707
"81","LDR14",1772,150,506.977656065707
"122","LDR14",1785,150,506.977656065707
"123","LDR14",1799,150,506.977656065707
"124","LDR14",1813,150,506.977656065707
"125","LDR14",1827,150,506.977656065707
"86","LDR14",1841,150,506.977656065707
"127","LDR14",1855,150,506.977656065707
"7","LDR15",1868,137,463.039592540012
"129","LDR15",1882,137,463.039592540012
"130","LDR15",1896,137,463.039592540012
