"","Sensor_no.","Timestamp","Height","Volume"
"12","LDR2",27,306,1034.23441837404
"29","LDR2",41,306,1034.23441837404
"30","LDR2",55,306,1034.23441837404
"20","LDR4",69,280,946.358291322652
"1","LDR1",83,319,1078.17248189974
"22","LDR6",96,254,858.482164271263
"21","LDR5",110,267,902.420227796958
"2","LDR10",124,202,682.729910168485
"6","LDR14",138,150,506.977656065707
"23","LDR7",138,241,814.544100745569
"25","LDR9",138,215,726.667973694179
"3","LDR11",152,189,638.79184664279
"4","LDR12",152,176,594.853783117096
"5","LDR13",152,163,550.915719591401
"19","LDR3",152,293,990.296354848347
"24","LDR8",152,228,770.606037219874
"7","LDR15",166,137,463.039592540012
"8","LDR16",179,124,419.101529014317
"9","LDR17",179,111,375.163465488623
"10","LDR18",179,98,331.225401962928
"18","LDR25",179,7,23.6589572830663
"49","LDR25",193,7,23.6589572830663
"13","LDR20",207,72,243.349274911539
"11","LDR19",221,85,287.287338437234
"52","LDR19",235,85,287.287338437234
"53","LDR19",249,85,287.287338437234
"54","LDR19",262,85,287.287338437234
"14","LDR21",276,59,199.411211385845
"56","LDR21",290,59,199.411211385845
"57","LDR21",304,59,199.411211385845
"58","LDR21",318,59,199.411211385845
"59","LDR21",332,59,199.411211385845
"60","LDR21",346,59,199.411211385845
"61","LDR21",359,59,199.411211385845
"62","LDR21",373,59,199.411211385845
"63","LDR21",387,59,199.411211385845
"64","LDR21",401,59,199.411211385845
"15","LDR22",415,46,155.47314786015
"66","LDR22",429,46,155.47314786015
"67","LDR22",442,46,155.47314786015
"28","LDR22",456,46,155.47314786015
"69","LDR22",470,46,155.47314786015
"70","LDR22",484,46,155.47314786015
"31","LDR22",498,46,155.47314786015
"32","LDR22",512,46,155.47314786015
"33","LDR22",525,46,155.47314786015
"34","LDR22",539,46,155.47314786015
"35","LDR22",553,46,155.47314786015
"36","LDR22",567,46,155.47314786015
"37","LDR22",581,46,155.47314786015
"38","LDR22",595,46,155.47314786015
"39","LDR22",608,46,155.47314786015
"40","LDR22",622,46,155.47314786015
"41","LDR22",636,46,155.47314786015
"42","LDR22",650,46,155.47314786015
"43","LDR22",664,46,155.47314786015
"44","LDR22",678,46,155.47314786015
"45","LDR22",692,46,155.47314786015
"46","LDR22",705,46,155.47314786015
"47","LDR22",719,46,155.47314786015
"48","LDR22",733,46,155.47314786015
"89","LDR22",747,46,155.47314786015
"50","LDR22",761,46,155.47314786015
"51","LDR22",775,46,155.47314786015
"92","LDR22",788,46,155.47314786015
"93","LDR22",802,46,155.47314786015
"94","LDR22",816,46,155.47314786015
"55","LDR22",830,46,155.47314786015
"96","LDR22",844,46,155.47314786015
"97","LDR22",858,46,155.47314786015
"16","LDR23",871,33,111.535084334455
"17","LDR24",871,20,67.5970208087609
"100","LDR24",885,20,67.5970208087609
"101","LDR24",899,20,67.5970208087609
"102","LDR24",913,20,67.5970208087609
"103","LDR24",927,20,67.5970208087609
"104","LDR24",941,20,67.5970208087609
"65","LDR24",955,20,67.5970208087609
"106","LDR24",968,20,67.5970208087609
"107","LDR24",982,20,67.5970208087609
"68","LDR24",996,20,67.5970208087609
"109","LDR24",1010,20,67.5970208087609
"110","LDR24",1024,20,67.5970208087609
"71","LDR24",1038,20,67.5970208087609
"72","LDR24",1051,20,67.5970208087609
"73","LDR24",1065,20,67.5970208087609
"74","LDR24",1079,20,67.5970208087609
"75","LDR24",1093,20,67.5970208087609
"76","LDR24",1107,20,67.5970208087609
"77","LDR24",1121,20,67.5970208087609
"78","LDR24",1134,20,67.5970208087609
"79","LDR24",1148,20,67.5970208087609
"80","LDR24",1162,20,67.5970208087609
"81","LDR24",1176,20,67.5970208087609
"82","LDR24",1190,20,67.5970208087609
"83","LDR24",1204,20,67.5970208087609
"84","LDR24",1217,20,67.5970208087609
"85","LDR24",1231,20,67.5970208087609
"86","LDR24",1245,20,67.5970208087609
"87","LDR24",1259,20,67.5970208087609
"88","LDR24",1273,20,67.5970208087609
"129","LDR24",1287,20,67.5970208087609
"90","LDR24",1301,20,67.5970208087609
"91","LDR24",1314,20,67.5970208087609
"132","LDR24",1328,20,67.5970208087609
"133","LDR24",1342,20,67.5970208087609
"134","LDR24",1356,20,67.5970208087609
"95","LDR24",1370,20,67.5970208087609
"136","LDR24",1384,20,67.5970208087609
"137","LDR24",1397,20,67.5970208087609
"98","LDR24",1411,20,67.5970208087609
"99","LDR24",1425,20,67.5970208087609
"140","LDR24",1439,20,67.5970208087609
