"","Sensor_no.","Timestamp","Height","Volume"
"1","LDR1",13,319,1078.17248189974
"28","LDR1",27,319,1078.17248189974
"29","LDR1",41,319,1078.17248189974
"30","LDR1",55,319,1078.17248189974
"31","LDR1",69,319,1078.17248189974
"32","LDR1",82,319,1078.17248189974
"33","LDR1",96,319,1078.17248189974
"5","LDR13",110,163,550.915719591401
"12","LDR2",110,306,1034.23441837404
"20","LDR4",110,280,946.358291322652
"2","LDR10",124,202,682.729910168485
"8","LDR16",124,124,419.101529014317
"18","LDR25",124,7,23.6589572830663
"21","LDR5",124,267,902.420227796958
"22","LDR6",138,254,858.482164271263
"42","LDR6",152,254,858.482164271263
"6","LDR14",165,150,506.977656065707
"13","LDR20",165,72,243.349274911539
"3","LDR11",179,189,638.79184664279
"4","LDR12",179,176,594.853783117096
"10","LDR18",179,98,331.225401962928
"23","LDR7",179,241,814.544100745569
"24","LDR8",179,228,770.606037219874
"50","LDR8",193,228,770.606037219874
"19","LDR3",207,293,990.296354848347
"52","LDR3",221,293,990.296354848347
"14","LDR21",235,59,199.411211385845
"15","LDR22",235,46,155.47314786015
"7","LDR15",248,137,463.039592540012
"9","LDR17",248,111,375.163465488623
"11","LDR19",248,85,287.287338437234
"17","LDR24",248,20,67.5970208087609
"25","LDR9",262,215,726.667973694179
"16","LDR23",276,33,111.535084334455
"61","LDR23",290,33,111.535084334455
"62","LDR23",304,33,111.535084334455
"63","LDR23",318,33,111.535084334455
"64","LDR23",331,33,111.535084334455
"65","LDR23",345,33,111.535084334455
"66","LDR23",359,33,111.535084334455
"27","LDR23",373,33,111.535084334455
"68","LDR23",387,33,111.535084334455
"69","LDR23",401,33,111.535084334455
"70","LDR23",414,33,111.535084334455
"71","LDR23",428,33,111.535084334455
"72","LDR23",442,33,111.535084334455
"73","LDR23",456,33,111.535084334455
"34","LDR23",470,33,111.535084334455
"35","LDR23",484,33,111.535084334455
"36","LDR23",497,33,111.535084334455
"37","LDR23",511,33,111.535084334455
"38","LDR23",525,33,111.535084334455
"39","LDR23",539,33,111.535084334455
"40","LDR23",553,33,111.535084334455
"41","LDR23",567,33,111.535084334455
"82","LDR23",580,33,111.535084334455
"43","LDR23",594,33,111.535084334455
"44","LDR23",608,33,111.535084334455
"45","LDR23",622,33,111.535084334455
"46","LDR23",636,33,111.535084334455
"47","LDR23",649,33,111.535084334455
"48","LDR23",663,33,111.535084334455
"49","LDR23",677,33,111.535084334455
"90","LDR23",691,33,111.535084334455
"51","LDR23",705,33,111.535084334455
"92","LDR23",719,33,111.535084334455
"53","LDR23",732,33,111.535084334455
"54","LDR23",746,33,111.535084334455
"55","LDR23",760,33,111.535084334455
"56","LDR23",774,33,111.535084334455
"57","LDR23",788,33,111.535084334455
"58","LDR23",802,33,111.535084334455
"59","LDR23",815,33,111.535084334455
"60","LDR23",829,33,111.535084334455
"101","LDR23",843,33,111.535084334455
"102","LDR23",857,33,111.535084334455
"103","LDR23",871,33,111.535084334455
"104","LDR23",885,33,111.535084334455
"105","LDR23",898,33,111.535084334455
"106","LDR23",912,33,111.535084334455
"67","LDR23",926,33,111.535084334455
"108","LDR23",940,33,111.535084334455
"109","LDR23",954,33,111.535084334455
"110","LDR23",968,33,111.535084334455
"111","LDR23",981,33,111.535084334455
"112","LDR23",995,33,111.535084334455
"113","LDR23",1009,33,111.535084334455
"74","LDR23",1023,33,111.535084334455
"75","LDR23",1037,33,111.535084334455
"76","LDR23",1051,33,111.535084334455
"77","LDR23",1064,33,111.535084334455
"78","LDR23",1078,33,111.535084334455
"79","LDR23",1092,33,111.535084334455
"80","LDR23",1106,33,111.535084334455
"81","LDR23",1120,33,111.535084334455
"122","LDR23",1134,33,111.535084334455
"83","LDR23",1147,33,111.535084334455
"84","LDR23",1161,33,111.535084334455
"85","LDR23",1175,33,111.535084334455
"86","LDR23",1189,33,111.535084334455
"87","LDR23",1203,33,111.535084334455
"88","LDR23",1217,33,111.535084334455
"89","LDR23",1230,33,111.535084334455
"130","LDR23",1244,33,111.535084334455
"91","LDR23",1258,33,111.535084334455
"132","LDR23",1272,33,111.535084334455
"93","LDR23",1286,33,111.535084334455
"94","LDR23",1299,33,111.535084334455
"95","LDR23",1313,33,111.535084334455
"96","LDR23",1327,33,111.535084334455
"97","LDR23",1341,33,111.535084334455
"98","LDR23",1355,33,111.535084334455
"99","LDR23",1369,33,111.535084334455
"100","LDR23",1382,33,111.535084334455
"141","LDR23",1396,33,111.535084334455
"138","LDR23",1410,33,111.535084334455
"142","LDR23",1424,33,111.535084334455
"131","LDR23",1438,33,111.535084334455
"143","LDR23",1452,33,111.535084334455
"133","LDR23",1465,33,111.535084334455
"107","LDR23",1479,33,111.535084334455
"135","LDR23",1493,33,111.535084334455
"136","LDR23",1507,33,111.535084334455
"137","LDR23",1521,33,111.535084334455
"134","LDR23",1535,33,111.535084334455
"139","LDR23",1548,33,111.535084334455
"140","LDR23",1562,33,111.535084334455
"114","LDR23",1576,33,111.535084334455
"115","LDR23",1590,33,111.535084334455
"116","LDR23",1604,33,111.535084334455
"117","LDR23",1618,33,111.535084334455
"118","LDR23",1631,33,111.535084334455
"119","LDR23",1645,33,111.535084334455
"120","LDR23",1659,33,111.535084334455
"121","LDR23",1673,33,111.535084334455
"144","LDR23",1687,33,111.535084334455
"123","LDR23",1701,33,111.535084334455
"124","LDR23",1714,33,111.535084334455
"125","LDR23",1728,33,111.535084334455
"126","LDR23",1742,33,111.535084334455
"127","LDR23",1756,33,111.535084334455
"128","LDR23",1770,33,111.535084334455
"129","LDR23",1784,33,111.535084334455
