"","Sensor_no.","Timestamp","Height","Volume"
"1","LDR1",41,319,1078.17248189974
"30","LDR1",55,319,1078.17248189974
"31","LDR1",69,319,1078.17248189974
"32","LDR1",83,319,1078.17248189974
"20","LDR4",96,280,946.358291322652
"2","LDR10",110,202,682.729910168485
"5","LDR13",110,163,550.915719591401
"21","LDR5",110,267,902.420227796958
"7","LDR15",124,137,463.039592540012
"23","LDR7",138,241,814.544100745569
"22","LDR6",152,254,858.482164271263
"24","LDR8",152,228,770.606037219874
"3","LDR11",166,189,638.79184664279
"4","LDR12",166,176,594.853783117096
"8","LDR16",166,124,419.101529014317
"14","LDR21",166,59,199.411211385845
"25","LDR9",166,215,726.667973694179
"6","LDR14",179,150,506.977656065707
"10","LDR18",179,98,331.225401962928
"9","LDR17",193,111,375.163465488623
"15","LDR22",207,46,155.47314786015
"13","LDR20",221,72,243.349274911539
"11","LDR19",235,85,287.287338437234
"52","LDR19",249,85,287.287338437234
"53","LDR19",262,85,287.287338437234
"54","LDR19",276,85,287.287338437234
"55","LDR19",290,85,287.287338437234
"16","LDR23",304,33,111.535084334455
"57","LDR23",318,33,111.535084334455
"58","LDR23",332,33,111.535084334455
"59","LDR23",345,33,111.535084334455
"60","LDR23",359,33,111.535084334455
"61","LDR23",373,33,111.535084334455
"62","LDR23",387,33,111.535084334455
"63","LDR23",401,33,111.535084334455
"64","LDR23",415,33,111.535084334455
"65","LDR23",428,33,111.535084334455
"66","LDR23",442,33,111.535084334455
"67","LDR23",456,33,111.535084334455
"68","LDR23",470,33,111.535084334455
"29","LDR23",484,33,111.535084334455
"70","LDR23",498,33,111.535084334455
"71","LDR23",511,33,111.535084334455
"72","LDR23",525,33,111.535084334455
"33","LDR23",539,33,111.535084334455
"34","LDR23",553,33,111.535084334455
"35","LDR23",567,33,111.535084334455
"36","LDR23",581,33,111.535084334455
"37","LDR23",594,33,111.535084334455
"38","LDR23",608,33,111.535084334455
"39","LDR23",622,33,111.535084334455
"12","LDR2",636,306,1034.23441837404
"41","LDR2",650,306,1034.23441837404
"42","LDR2",663,306,1034.23441837404
"43","LDR2",677,306,1034.23441837404
"44","LDR2",691,306,1034.23441837404
"45","LDR2",705,306,1034.23441837404
"46","LDR2",719,306,1034.23441837404
"47","LDR2",733,306,1034.23441837404
"48","LDR2",746,306,1034.23441837404
"49","LDR2",760,306,1034.23441837404
"50","LDR2",774,306,1034.23441837404
"51","LDR2",788,306,1034.23441837404
"92","LDR2",802,306,1034.23441837404
"93","LDR2",816,306,1034.23441837404
"94","LDR2",829,306,1034.23441837404
"95","LDR2",843,306,1034.23441837404
"56","LDR2",857,306,1034.23441837404
"97","LDR2",871,306,1034.23441837404
"98","LDR2",885,306,1034.23441837404
"99","LDR2",899,306,1034.23441837404
"100","LDR2",912,306,1034.23441837404
"101","LDR2",926,306,1034.23441837404
"102","LDR2",940,306,1034.23441837404
"17","LDR24",954,20,67.5970208087609
"18","LDR25",954,7,23.6589572830663
"105","LDR25",968,7,23.6589572830663
"106","LDR25",982,7,23.6589572830663
"107","LDR25",995,7,23.6589572830663
"108","LDR25",1009,7,23.6589572830663
"69","LDR25",1023,7,23.6589572830663
"110","LDR25",1037,7,23.6589572830663
"111","LDR25",1051,7,23.6589572830663
"112","LDR25",1065,7,23.6589572830663
"73","LDR25",1078,7,23.6589572830663
"74","LDR25",1092,7,23.6589572830663
"75","LDR25",1106,7,23.6589572830663
"76","LDR25",1120,7,23.6589572830663
"77","LDR25",1134,7,23.6589572830663
"78","LDR25",1148,7,23.6589572830663
"79","LDR25",1161,7,23.6589572830663
"40","LDR25",1175,7,23.6589572830663
"81","LDR25",1189,7,23.6589572830663
"82","LDR25",1203,7,23.6589572830663
"83","LDR25",1217,7,23.6589572830663
"84","LDR25",1230,7,23.6589572830663
"85","LDR25",1244,7,23.6589572830663
"86","LDR25",1258,7,23.6589572830663
"87","LDR25",1272,7,23.6589572830663
"88","LDR25",1286,7,23.6589572830663
"89","LDR25",1300,7,23.6589572830663
"90","LDR25",1313,7,23.6589572830663
"91","LDR25",1327,7,23.6589572830663
"132","LDR25",1341,7,23.6589572830663
"120","LDR25",1355,7,23.6589572830663
"121","LDR25",1369,7,23.6589572830663
"131","LDR25",1383,7,23.6589572830663
"96","LDR25",1396,7,23.6589572830663
"137","LDR25",1410,7,23.6589572830663
"125","LDR25",1424,7,23.6589572830663
"126","LDR25",1438,7,23.6589572830663
"127","LDR25",1452,7,23.6589572830663
"128","LDR25",1466,7,23.6589572830663
"129","LDR25",1479,7,23.6589572830663
"103","LDR25",1493,7,23.6589572830663
"104","LDR25",1507,7,23.6589572830663
"139","LDR25",1521,7,23.6589572830663
"133","LDR25",1535,7,23.6589572830663
"130","LDR25",1549,7,23.6589572830663
"136","LDR25",1562,7,23.6589572830663
"109","LDR25",1576,7,23.6589572830663
"138","LDR25",1590,7,23.6589572830663
"134","LDR25",1604,7,23.6589572830663
"135","LDR25",1618,7,23.6589572830663
"113","LDR25",1632,7,23.6589572830663
"114","LDR25",1645,7,23.6589572830663
"115","LDR25",1659,7,23.6589572830663
"116","LDR25",1673,7,23.6589572830663
"117","LDR25",1687,7,23.6589572830663
"118","LDR25",1701,7,23.6589572830663
"119","LDR25",1714,7,23.6589572830663
"80","LDR25",1728,7,23.6589572830663
"19","LDR3",1742,293,990.296354848347
"122","LDR3",1756,293,990.296354848347
"123","LDR3",1770,293,990.296354848347
"124","LDR3",1784,293,990.296354848347
