"","Sensor_no.","Timestamp","Height","Volume"
"1","LDR1",14,319,1078.17248189974
"17","LDR24",14,20,67.5970208087609
"29","LDR24",28,20,67.5970208087609
"30","LDR24",42,20,67.5970208087609
"12","LDR2",55,306,1034.23441837404
"19","LDR3",55,293,990.296354848347
"33","LDR3",69,293,990.296354848347
"20","LDR4",83,280,946.358291322652
"21","LDR5",83,267,902.420227796958
"36","LDR5",97,267,902.420227796958
"22","LDR6",111,254,858.482164271263
"23","LDR7",125,241,814.544100745569
"25","LDR9",125,215,726.667973694179
"2","LDR10",139,202,682.729910168485
"3","LDR11",139,189,638.79184664279
"4","LDR12",139,176,594.853783117096
"5","LDR13",139,163,550.915719591401
"6","LDR14",139,150,506.977656065707
"7","LDR15",139,137,463.039592540012
"24","LDR8",139,228,770.606037219874
"47","LDR8",152,228,770.606037219874
"48","LDR8",166,228,770.606037219874
"49","LDR8",180,228,770.606037219874
"8","LDR16",194,124,419.101529014317
"10","LDR18",208,98,331.225401962928
"9","LDR17",222,111,375.163465488623
"53","LDR17",236,111,375.163465488623
"11","LDR19",249,85,287.287338437234
"55","LDR19",263,85,287.287338437234
"56","LDR19",277,85,287.287338437234
"57","LDR19",291,85,287.287338437234
"58","LDR19",305,85,287.287338437234
"13","LDR20",319,72,243.349274911539
"60","LDR20",332,72,243.349274911539
"61","LDR20",346,72,243.349274911539
"62","LDR20",360,72,243.349274911539
"63","LDR20",374,72,243.349274911539
"64","LDR20",388,72,243.349274911539
"65","LDR20",402,72,243.349274911539
"66","LDR20",415,72,243.349274911539
"27","LDR20",429,72,243.349274911539
"28","LDR20",443,72,243.349274911539
"69","LDR20",457,72,243.349274911539
"70","LDR20",471,72,243.349274911539
"14","LDR21",485,59,199.411211385845
"32","LDR21",498,59,199.411211385845
"73","LDR21",512,59,199.411211385845
"34","LDR21",526,59,199.411211385845
"35","LDR21",540,59,199.411211385845
"76","LDR21",554,59,199.411211385845
"37","LDR21",568,59,199.411211385845
"38","LDR21",581,59,199.411211385845
"39","LDR21",595,59,199.411211385845
"40","LDR21",609,59,199.411211385845
"41","LDR21",623,59,199.411211385845
