"","Sensor_no.","Timestamp","Height","Volume"
"1","LDR1",13,319,1078.17248189974
"12","LDR2",13,306,1034.23441837404
"16","LDR23",13,33,111.535084334455
"30","LDR23",27,33,111.535084334455
"19","LDR3",41,293,990.296354848347
"20","LDR4",55,280,946.358291322652
"21","LDR5",69,267,902.420227796958
"22","LDR6",83,254,858.482164271263
"23","LDR7",96,241,814.544100745569
"24","LDR8",110,228,770.606037219874
"2","LDR10",124,202,682.729910168485
"25","LDR9",124,215,726.667973694179
"3","LDR11",138,189,638.79184664279
"4","LDR12",152,176,594.853783117096
"5","LDR13",166,163,550.915719591401
"42","LDR13",179,163,550.915719591401
"6","LDR14",193,150,506.977656065707
"7","LDR15",207,137,463.039592540012
"45","LDR15",221,137,463.039592540012
"46","LDR15",235,137,463.039592540012
"8","LDR16",249,124,419.101529014317
"48","LDR16",263,124,419.101529014317
"18","LDR25",276,7,23.6589572830663
"50","LDR25",290,7,23.6589572830663
"17","LDR24",304,20,67.5970208087609
"9","LDR17",318,111,375.163465488623
"53","LDR17",332,111,375.163465488623
"54","LDR17",346,111,375.163465488623
"55","LDR17",359,111,375.163465488623
"56","LDR17",373,111,375.163465488623
"57","LDR17",387,111,375.163465488623
"58","LDR17",401,111,375.163465488623
"10","LDR18",415,98,331.225401962928
"60","LDR18",429,98,331.225401962928
"61","LDR18",442,98,331.225401962928
"62","LDR18",456,98,331.225401962928
"63","LDR18",470,98,331.225401962928
"64","LDR18",484,98,331.225401962928
"65","LDR18",498,98,331.225401962928
"66","LDR18",512,98,331.225401962928
"27","LDR18",526,98,331.225401962928
"28","LDR18",539,98,331.225401962928
"29","LDR18",553,98,331.225401962928
"11","LDR19",567,85,287.287338437234
"31","LDR19",581,85,287.287338437234
"32","LDR19",595,85,287.287338437234
"33","LDR19",609,85,287.287338437234
"34","LDR19",622,85,287.287338437234
"35","LDR19",636,85,287.287338437234
"36","LDR19",650,85,287.287338437234
"37","LDR19",664,85,287.287338437234
"38","LDR19",678,85,287.287338437234
"39","LDR19",692,85,287.287338437234
"40","LDR19",706,85,287.287338437234
"41","LDR19",719,85,287.287338437234
"82","LDR19",733,85,287.287338437234
"43","LDR19",747,85,287.287338437234
"44","LDR19",761,85,287.287338437234
"85","LDR19",775,85,287.287338437234
"86","LDR19",789,85,287.287338437234
"47","LDR19",802,85,287.287338437234
"88","LDR19",816,85,287.287338437234
"13","LDR20",830,72,243.349274911539
"90","LDR20",844,72,243.349274911539
"51","LDR20",858,72,243.349274911539
"52","LDR20",872,72,243.349274911539
"93","LDR20",885,72,243.349274911539
"94","LDR20",899,72,243.349274911539
"95","LDR20",913,72,243.349274911539
"96","LDR20",927,72,243.349274911539
"97","LDR20",941,72,243.349274911539
"98","LDR20",955,72,243.349274911539
"59","LDR20",969,72,243.349274911539
"100","LDR20",982,72,243.349274911539
"101","LDR20",996,72,243.349274911539
"102","LDR20",1010,72,243.349274911539
"103","LDR20",1024,72,243.349274911539
"104","LDR20",1038,72,243.349274911539
"105","LDR20",1052,72,243.349274911539
"106","LDR20",1065,72,243.349274911539
"67","LDR20",1079,72,243.349274911539
"68","LDR20",1093,72,243.349274911539
"69","LDR20",1107,72,243.349274911539
"70","LDR20",1121,72,243.349274911539
"71","LDR20",1135,72,243.349274911539
"72","LDR20",1149,72,243.349274911539
"73","LDR20",1162,72,243.349274911539
"74","LDR20",1176,72,243.349274911539
"75","LDR20",1190,72,243.349274911539
"76","LDR20",1204,72,243.349274911539
"77","LDR20",1218,72,243.349274911539
"78","LDR20",1232,72,243.349274911539
"79","LDR20",1245,72,243.349274911539
"80","LDR20",1259,72,243.349274911539
"81","LDR20",1273,72,243.349274911539
"122","LDR20",1287,72,243.349274911539
"83","LDR20",1301,72,243.349274911539
"84","LDR20",1315,72,243.349274911539
"112","LDR20",1328,72,243.349274911539
"126","LDR20",1342,72,243.349274911539
"87","LDR20",1356,72,243.349274911539
"128","LDR20",1370,72,243.349274911539
"49","LDR20",1384,72,243.349274911539
"130","LDR20",1398,72,243.349274911539
"91","LDR20",1412,72,243.349274911539
"92","LDR20",1425,72,243.349274911539
"129","LDR20",1439,72,243.349274911539
"134","LDR20",1453,72,243.349274911539
"135","LDR20",1467,72,243.349274911539
"136","LDR20",1481,72,243.349274911539
"133","LDR20",1495,72,243.349274911539
"14","LDR21",1508,59,199.411211385845
"15","LDR22",1508,46,155.47314786015
"140","LDR22",1522,46,155.47314786015
"137","LDR22",1536,46,155.47314786015
"125","LDR22",1550,46,155.47314786015
"143","LDR22",1564,46,155.47314786015
"144","LDR22",1578,46,155.47314786015
"132","LDR22",1592,46,155.47314786015
"142","LDR22",1605,46,155.47314786015
"107","LDR22",1619,46,155.47314786015
"108","LDR22",1633,46,155.47314786015
"109","LDR22",1647,46,155.47314786015
"110","LDR22",1661,46,155.47314786015
"111","LDR22",1675,46,155.47314786015
"99","LDR22",1688,46,155.47314786015
"113","LDR22",1702,46,155.47314786015
"114","LDR22",1716,46,155.47314786015
"115","LDR22",1730,46,155.47314786015
"116","LDR22",1744,46,155.47314786015
"117","LDR22",1758,46,155.47314786015
"118","LDR22",1771,46,155.47314786015
"119","LDR22",1785,46,155.47314786015
"120","LDR22",1799,46,155.47314786015
"121","LDR22",1813,46,155.47314786015
"141","LDR22",1827,46,155.47314786015
"123","LDR22",1841,46,155.47314786015
"124","LDR22",1855,46,155.47314786015
"139","LDR22",1868,46,155.47314786015
"145","LDR22",1882,46,155.47314786015
"127","LDR22",1896,46,155.47314786015
"138","LDR22",1910,46,155.47314786015
"89","LDR22",1924,46,155.47314786015
"146","LDR22",1938,46,155.47314786015
"131","LDR22",1951,46,155.47314786015
