"","Sensor_no.","Timestamp","Height","Volume"
"15","LDR22",14,46,155.47314786015
"16","LDR23",14,33,111.535084334455
"17","LDR24",14,20,67.5970208087609
"18","LDR25",14,7,23.6589572830663
"31","LDR25",28,7,23.6589572830663
"32","LDR25",41,7,23.6589572830663
"1","LDR1",55,319,1078.17248189974
"12","LDR2",69,306,1034.23441837404
"19","LDR3",83,293,990.296354848347
"20","LDR4",97,280,946.358291322652
"21","LDR5",97,267,902.420227796958
"22","LDR6",111,254,858.482164271263
"23","LDR7",125,241,814.544100745569
"24","LDR8",139,228,770.606037219874
"2","LDR10",152,202,682.729910168485
"25","LDR9",152,215,726.667973694179
"3","LDR11",166,189,638.79184664279
"4","LDR12",180,176,594.853783117096
"5","LDR13",194,163,550.915719591401
"46","LDR13",208,163,550.915719591401
"6","LDR14",222,150,506.977656065707
"48","LDR14",235,150,506.977656065707
"49","LDR14",249,150,506.977656065707
"50","LDR14",263,150,506.977656065707
"7","LDR15",277,137,463.039592540012
"52","LDR15",291,137,463.039592540012
"53","LDR15",305,137,463.039592540012
"54","LDR15",318,137,463.039592540012
"55","LDR15",332,137,463.039592540012
"8","LDR16",346,124,419.101529014317
"57","LDR16",360,124,419.101529014317
"58","LDR16",374,124,419.101529014317
"59","LDR16",388,124,419.101529014317
"60","LDR16",401,124,419.101529014317
"61","LDR16",415,124,419.101529014317
"62","LDR16",429,124,419.101529014317
"63","LDR16",443,124,419.101529014317
"64","LDR16",457,124,419.101529014317
"9","LDR17",471,111,375.163465488623
"66","LDR17",484,111,375.163465488623
"27","LDR17",498,111,375.163465488623
"28","LDR17",512,111,375.163465488623
"29","LDR17",526,111,375.163465488623
"30","LDR17",540,111,375.163465488623
"71","LDR17",553,111,375.163465488623
"72","LDR17",567,111,375.163465488623
"33","LDR17",581,111,375.163465488623
"34","LDR17",595,111,375.163465488623
"35","LDR17",609,111,375.163465488623
"36","LDR17",623,111,375.163465488623
"37","LDR17",636,111,375.163465488623
"38","LDR17",650,111,375.163465488623
"10","LDR18",664,98,331.225401962928
"40","LDR18",678,98,331.225401962928
"41","LDR18",692,98,331.225401962928
"42","LDR18",706,98,331.225401962928
"43","LDR18",719,98,331.225401962928
"44","LDR18",733,98,331.225401962928
"45","LDR18",747,98,331.225401962928
"86","LDR18",761,98,331.225401962928
"47","LDR18",775,98,331.225401962928
"88","LDR18",789,98,331.225401962928
"89","LDR18",802,98,331.225401962928
"90","LDR18",816,98,331.225401962928
"51","LDR18",830,98,331.225401962928
"92","LDR18",844,98,331.225401962928
"93","LDR18",858,98,331.225401962928
"94","LDR18",872,98,331.225401962928
"95","LDR18",885,98,331.225401962928
"56","LDR18",899,98,331.225401962928
"97","LDR18",913,98,331.225401962928
"98","LDR18",927,98,331.225401962928
"99","LDR18",941,98,331.225401962928
"100","LDR18",954,98,331.225401962928
"101","LDR18",968,98,331.225401962928
"102","LDR18",982,98,331.225401962928
"103","LDR18",996,98,331.225401962928
"11","LDR19",1010,85,287.287338437234
"65","LDR19",1024,85,287.287338437234
"106","LDR19",1037,85,287.287338437234
"67","LDR19",1051,85,287.287338437234
"68","LDR19",1065,85,287.287338437234
"69","LDR19",1079,85,287.287338437234
"70","LDR19",1093,85,287.287338437234
"111","LDR19",1107,85,287.287338437234
"112","LDR19",1120,85,287.287338437234
"73","LDR19",1134,85,287.287338437234
"74","LDR19",1148,85,287.287338437234
"75","LDR19",1162,85,287.287338437234
"76","LDR19",1176,85,287.287338437234
"77","LDR19",1190,85,287.287338437234
"78","LDR19",1203,85,287.287338437234
"39","LDR19",1217,85,287.287338437234
"80","LDR19",1231,85,287.287338437234
"81","LDR19",1245,85,287.287338437234
"82","LDR19",1259,85,287.287338437234
"83","LDR19",1273,85,287.287338437234
"84","LDR19",1286,85,287.287338437234
"85","LDR19",1300,85,287.287338437234
"122","LDR19",1314,85,287.287338437234
"87","LDR19",1328,85,287.287338437234
"128","LDR19",1342,85,287.287338437234
"116","LDR19",1356,85,287.287338437234
"126","LDR19",1369,85,287.287338437234
"91","LDR19",1383,85,287.287338437234
"119","LDR19",1397,85,287.287338437234
"133","LDR19",1411,85,287.287338437234
"130","LDR19",1425,85,287.287338437234
"127","LDR19",1438,85,287.287338437234
"96","LDR19",1452,85,287.287338437234
"124","LDR19",1466,85,287.287338437234
"125","LDR19",1480,85,287.287338437234
"131","LDR19",1494,85,287.287338437234
"123","LDR19",1508,85,287.287338437234
"136","LDR19",1521,85,287.287338437234
"129","LDR19",1535,85,287.287338437234
"135","LDR19",1549,85,287.287338437234
"104","LDR19",1563,85,287.287338437234
"105","LDR19",1577,85,287.287338437234
"137","LDR19",1591,85,287.287338437234
"107","LDR19",1604,85,287.287338437234
"108","LDR19",1618,85,287.287338437234
"109","LDR19",1632,85,287.287338437234
"110","LDR19",1646,85,287.287338437234
"134","LDR19",1660,85,287.287338437234
"132","LDR19",1674,85,287.287338437234
"113","LDR19",1687,85,287.287338437234
"114","LDR19",1701,85,287.287338437234
"115","LDR19",1715,85,287.287338437234
"14","LDR21",1729,59,199.411211385845
"117","LDR21",1743,59,199.411211385845
"13","LDR20",1757,72,243.349274911539
"79","LDR20",1770,72,243.349274911539
"120","LDR20",1784,72,243.349274911539
"121","LDR20",1798,72,243.349274911539
"118","LDR20",1812,72,243.349274911539
