"","Sensor_no.","Timestamp","Height","Volume"
"15","LDR22",14,46,155.47314786015
"19","LDR3",14,293,990.296354848347
"29","LDR3",27,293,990.296354848347
"30","LDR3",41,293,990.296354848347
"10","LDR18",55,98,331.225401962928
"12","LDR2",69,306,1034.23441837404
"33","LDR2",83,306,1034.23441837404
"34","LDR2",97,306,1034.23441837404
"35","LDR2",111,306,1034.23441837404
"36","LDR2",124,306,1034.23441837404
"9","LDR17",138,111,375.163465488623
"11","LDR19",138,85,287.287338437234
"13","LDR20",138,72,243.349274911539
"16","LDR23",138,33,111.535084334455
"17","LDR24",138,20,67.5970208087609
"18","LDR25",138,7,23.6589572830663
"43","LDR25",152,7,23.6589572830663
"44","LDR25",166,7,23.6589572830663
"45","LDR25",180,7,23.6589572830663
"46","LDR25",194,7,23.6589572830663
"47","LDR25",208,7,23.6589572830663
"14","LDR21",221,59,199.411211385845
"49","LDR21",235,59,199.411211385845
"50","LDR21",249,59,199.411211385845
"51","LDR21",263,59,199.411211385845
"52","LDR21",277,59,199.411211385845
"53","LDR21",291,59,199.411211385845
"1","LDR1",304,319,1078.17248189974
"20","LDR4",304,280,946.358291322652
"56","LDR4",318,280,946.358291322652
"57","LDR4",332,280,946.358291322652
"58","LDR4",346,280,946.358291322652
"21","LDR5",360,267,902.420227796958
"60","LDR5",374,267,902.420227796958
"61","LDR5",387,267,902.420227796958
"22","LDR6",401,254,858.482164271263
"63","LDR6",415,254,858.482164271263
"64","LDR6",429,254,858.482164271263
"23","LDR7",443,241,814.544100745569
"66","LDR7",457,241,814.544100745569
"27","LDR7",470,241,814.544100745569
"24","LDR8",484,228,770.606037219874
"69","LDR8",498,228,770.606037219874
"70","LDR8",512,228,770.606037219874
"31","LDR8",526,228,770.606037219874
"32","LDR8",539,228,770.606037219874
"73","LDR8",553,228,770.606037219874
"25","LDR9",567,215,726.667973694179
"75","LDR9",581,215,726.667973694179
"76","LDR9",595,215,726.667973694179
"37","LDR9",609,215,726.667973694179
"38","LDR9",622,215,726.667973694179
"39","LDR9",636,215,726.667973694179
"2","LDR10",650,202,682.729910168485
"41","LDR10",664,202,682.729910168485
"42","LDR10",678,202,682.729910168485
"83","LDR10",692,202,682.729910168485
"84","LDR10",705,202,682.729910168485
"85","LDR10",719,202,682.729910168485
"86","LDR10",733,202,682.729910168485
"3","LDR11",747,189,638.79184664279
"48","LDR11",761,189,638.79184664279
"89","LDR11",775,189,638.79184664279
"90","LDR11",788,189,638.79184664279
"91","LDR11",802,189,638.79184664279
"92","LDR11",816,189,638.79184664279
"93","LDR11",830,189,638.79184664279
"54","LDR11",844,189,638.79184664279
"55","LDR11",858,189,638.79184664279
"96","LDR11",871,189,638.79184664279
"97","LDR11",885,189,638.79184664279
"4","LDR12",899,176,594.853783117096
"59","LDR12",913,176,594.853783117096
"100","LDR12",927,176,594.853783117096
"101","LDR12",940,176,594.853783117096
"62","LDR12",954,176,594.853783117096
"103","LDR12",968,176,594.853783117096
"104","LDR12",982,176,594.853783117096
"65","LDR12",996,176,594.853783117096
"106","LDR12",1010,176,594.853783117096
"67","LDR12",1023,176,594.853783117096
"28","LDR12",1037,176,594.853783117096
"109","LDR12",1051,176,594.853783117096
"110","LDR12",1065,176,594.853783117096
"5","LDR13",1079,163,550.915719591401
"72","LDR13",1093,163,550.915719591401
"113","LDR13",1106,163,550.915719591401
"74","LDR13",1120,163,550.915719591401
"115","LDR13",1134,163,550.915719591401
"116","LDR13",1148,163,550.915719591401
"77","LDR13",1162,163,550.915719591401
"78","LDR13",1176,163,550.915719591401
"79","LDR13",1189,163,550.915719591401
"40","LDR13",1203,163,550.915719591401
"68","LDR13",1217,163,550.915719591401
"82","LDR13",1231,163,550.915719591401
"123","LDR13",1245,163,550.915719591401
"111","LDR13",1259,163,550.915719591401
"121","LDR13",1272,163,550.915719591401
"6","LDR14",1286,150,506.977656065707
"87","LDR14",1300,150,506.977656065707
"88","LDR14",1314,150,506.977656065707
"125","LDR14",1328,150,506.977656065707
"130","LDR14",1341,150,506.977656065707
"131","LDR14",1355,150,506.977656065707
"132","LDR14",1369,150,506.977656065707
"107","LDR14",1383,150,506.977656065707
"81","LDR14",1397,150,506.977656065707
"95","LDR14",1411,150,506.977656065707
"136","LDR14",1424,150,506.977656065707
"124","LDR14",1438,150,506.977656065707
"98","LDR14",1452,150,506.977656065707
"99","LDR14",1466,150,506.977656065707
"140","LDR14",1480,150,506.977656065707
"128","LDR14",1494,150,506.977656065707
"102","LDR14",1507,150,506.977656065707
"139","LDR14",1521,150,506.977656065707
"142","LDR14",1535,150,506.977656065707
"105","LDR14",1549,150,506.977656065707
"120","LDR14",1563,150,506.977656065707
"94","LDR14",1577,150,506.977656065707
"7","LDR15",1590,137,463.039592540012
"133","LDR15",1604,137,463.039592540012
"129","LDR15",1618,137,463.039592540012
"71","LDR15",1632,137,463.039592540012
"112","LDR15",1646,137,463.039592540012
"137","LDR15",1660,137,463.039592540012
"114","LDR15",1673,137,463.039592540012
"138","LDR15",1687,137,463.039592540012
"8","LDR16",1701,124,419.101529014317
"117","LDR16",1715,124,419.101529014317
"118","LDR16",1729,124,419.101529014317
"119","LDR16",1743,124,419.101529014317
"80","LDR16",1756,124,419.101529014317
"108","LDR16",1770,124,419.101529014317
"122","LDR16",1784,124,419.101529014317
"141","LDR16",1798,124,419.101529014317
"134","LDR16",1812,124,419.101529014317
"135","LDR16",1826,124,419.101529014317
"126","LDR16",1839,124,419.101529014317
"127","LDR16",1853,124,419.101529014317
