"","Sensor_no.","Timestamp","Height","Volume"
"13","LDR20",14,72,243.349274911539
"15","LDR22",27,46,155.47314786015
"19","LDR3",27,293,990.296354848347
"30","LDR3",41,293,990.296354848347
"31","LDR3",55,293,990.296354848347
"32","LDR3",69,293,990.296354848347
"33","LDR3",83,293,990.296354848347
"34","LDR3",97,293,990.296354848347
"35","LDR3",111,293,990.296354848347
"36","LDR3",124,293,990.296354848347
"37","LDR3",138,293,990.296354848347
"16","LDR23",152,33,111.535084334455
"17","LDR24",152,20,67.5970208087609
"18","LDR25",152,7,23.6589572830663
"20","LDR4",152,280,946.358291322652
"42","LDR4",166,280,946.358291322652
"43","LDR4",180,280,946.358291322652
"44","LDR4",194,280,946.358291322652
"21","LDR5",208,267,902.420227796958
"46","LDR5",221,267,902.420227796958
"22","LDR6",235,254,858.482164271263
"48","LDR6",249,254,858.482164271263
"23","LDR7",263,241,814.544100745569
"50","LDR7",277,241,814.544100745569
"24","LDR8",291,228,770.606037219874
"1","LDR1",304,319,1078.17248189974
"25","LDR9",318,215,726.667973694179
"54","LDR9",332,215,726.667973694179
"2","LDR10",346,202,682.729910168485
"56","LDR10",360,202,682.729910168485
"3","LDR11",374,189,638.79184664279
"58","LDR11",387,189,638.79184664279
"59","LDR11",401,189,638.79184664279
"4","LDR12",415,176,594.853783117096
"61","LDR12",429,176,594.853783117096
"62","LDR12",443,176,594.853783117096
"63","LDR12",457,176,594.853783117096
"64","LDR12",470,176,594.853783117096
"5","LDR13",484,163,550.915719591401
"66","LDR13",498,163,550.915719591401
"27","LDR13",512,163,550.915719591401
"28","LDR13",526,163,550.915719591401
"29","LDR13",540,163,550.915719591401
"6","LDR14",553,150,506.977656065707
"71","LDR14",567,150,506.977656065707
"72","LDR14",581,150,506.977656065707
"73","LDR14",595,150,506.977656065707
"74","LDR14",609,150,506.977656065707
"75","LDR14",623,150,506.977656065707
"76","LDR14",636,150,506.977656065707
"7","LDR15",650,137,463.039592540012
"38","LDR15",664,137,463.039592540012
"39","LDR15",678,137,463.039592540012
"40","LDR15",692,137,463.039592540012
"41","LDR15",706,137,463.039592540012
"82","LDR15",719,137,463.039592540012
"83","LDR15",733,137,463.039592540012
"84","LDR15",747,137,463.039592540012
"45","LDR15",761,137,463.039592540012
"86","LDR15",775,137,463.039592540012
"47","LDR15",789,137,463.039592540012
"88","LDR15",802,137,463.039592540012
"8","LDR16",816,124,419.101529014317
"90","LDR16",830,124,419.101529014317
"51","LDR16",844,124,419.101529014317
"52","LDR16",858,124,419.101529014317
"53","LDR16",871,124,419.101529014317
"94","LDR16",885,124,419.101529014317
"55","LDR16",899,124,419.101529014317
"96","LDR16",913,124,419.101529014317
"57","LDR16",927,124,419.101529014317
"98","LDR16",941,124,419.101529014317
"99","LDR16",954,124,419.101529014317
"60","LDR16",968,124,419.101529014317
"101","LDR16",982,124,419.101529014317
"102","LDR16",996,124,419.101529014317
"103","LDR16",1010,124,419.101529014317
"104","LDR16",1024,124,419.101529014317
"14","LDR21",1037,59,199.411211385845
"106","LDR21",1051,59,199.411211385845
"9","LDR17",1065,111,375.163465488623
"68","LDR17",1079,111,375.163465488623
"69","LDR17",1093,111,375.163465488623
"70","LDR17",1107,111,375.163465488623
"111","LDR17",1120,111,375.163465488623
"112","LDR17",1134,111,375.163465488623
"113","LDR17",1148,111,375.163465488623
"114","LDR17",1162,111,375.163465488623
"115","LDR17",1176,111,375.163465488623
"116","LDR17",1190,111,375.163465488623
"77","LDR17",1203,111,375.163465488623
"78","LDR17",1217,111,375.163465488623
"79","LDR17",1231,111,375.163465488623
"80","LDR17",1245,111,375.163465488623
"81","LDR17",1259,111,375.163465488623
"122","LDR17",1273,111,375.163465488623
"123","LDR17",1286,111,375.163465488623
"124","LDR17",1300,111,375.163465488623
"85","LDR17",1314,111,375.163465488623
"126","LDR17",1328,111,375.163465488623
"87","LDR17",1342,111,375.163465488623
