"","Sensor_no.","Timestamp","Height","Volume"
"19","LDR3",13,293,990.296354848347
"29","LDR3",27,293,990.296354848347
"30","LDR3",41,293,990.296354848347
"31","LDR3",55,293,990.296354848347
"32","LDR3",69,293,990.296354848347
"20","LDR4",83,280,946.358291322652
"34","LDR4",96,280,946.358291322652
"21","LDR5",110,267,902.420227796958
"36","LDR5",124,267,902.420227796958
"22","LDR6",138,254,858.482164271263
"23","LDR7",152,241,814.544100745569
"24","LDR8",166,228,770.606037219874
"17","LDR24",179,20,67.5970208087609
"25","LDR9",179,215,726.667973694179
"2","LDR10",193,202,682.729910168485
"43","LDR10",207,202,682.729910168485
"3","LDR11",221,189,638.79184664279
"4","LDR12",235,176,594.853783117096
"46","LDR12",249,176,594.853783117096
"5","LDR13",262,163,550.915719591401
"48","LDR13",276,163,550.915719591401
"49","LDR13",290,163,550.915719591401
"6","LDR14",304,150,506.977656065707
"7","LDR15",373,137,463.039592540012
"56","LDR15",387,137,463.039592540012
"57","LDR15",401,137,463.039592540012
"58","LDR15",415,137,463.039592540012
"59","LDR15",428,137,463.039592540012
"60","LDR15",442,137,463.039592540012
"8","LDR16",456,124,419.101529014317
"62","LDR16",470,124,419.101529014317
"63","LDR16",484,124,419.101529014317
"64","LDR16",498,124,419.101529014317
"65","LDR16",511,124,419.101529014317
"66","LDR16",525,124,419.101529014317
"67","LDR16",539,124,419.101529014317
"68","LDR16",553,124,419.101529014317
"69","LDR16",567,124,419.101529014317
"70","LDR16",581,124,419.101529014317
"71","LDR16",594,124,419.101529014317
"9","LDR17",608,111,375.163465488623
"73","LDR17",622,111,375.163465488623
"74","LDR17",636,111,375.163465488623
"75","LDR17",650,111,375.163465488623
"76","LDR17",664,111,375.163465488623
"77","LDR17",677,111,375.163465488623
"78","LDR17",691,111,375.163465488623
"79","LDR17",705,111,375.163465488623
"80","LDR17",719,111,375.163465488623
"81","LDR17",733,111,375.163465488623
"82","LDR17",747,111,375.163465488623
"83","LDR17",760,111,375.163465488623
"84","LDR17",774,111,375.163465488623
"85","LDR17",788,111,375.163465488623
"86","LDR17",802,111,375.163465488623
"87","LDR17",816,111,375.163465488623
"88","LDR17",830,111,375.163465488623
"89","LDR17",843,111,375.163465488623
"90","LDR17",857,111,375.163465488623
"91","LDR17",871,111,375.163465488623
"10","LDR18",885,98,331.225401962928
"93","LDR18",899,98,331.225401962928
"94","LDR18",913,98,331.225401962928
"95","LDR18",926,98,331.225401962928
"96","LDR18",940,98,331.225401962928
"97","LDR18",954,98,331.225401962928
"98","LDR18",968,98,331.225401962928
"99","LDR18",982,98,331.225401962928
"100","LDR18",996,98,331.225401962928
"101","LDR18",1009,98,331.225401962928
"102","LDR18",1023,98,331.225401962928
"103","LDR18",1037,98,331.225401962928
"104","LDR18",1051,98,331.225401962928
"105","LDR18",1065,98,331.225401962928
"106","LDR18",1079,98,331.225401962928
"107","LDR18",1092,98,331.225401962928
"108","LDR18",1106,98,331.225401962928
"109","LDR18",1120,98,331.225401962928
"110","LDR18",1134,98,331.225401962928
"111","LDR18",1148,98,331.225401962928
"112","LDR18",1162,98,331.225401962928
"113","LDR18",1175,98,331.225401962928
"114","LDR18",1189,98,331.225401962928
"115","LDR18",1203,98,331.225401962928
"116","LDR18",1217,98,331.225401962928
"117","LDR18",1231,98,331.225401962928
"118","LDR18",1245,98,331.225401962928
"119","LDR18",1258,98,331.225401962928
"120","LDR18",1272,98,331.225401962928
"121","LDR18",1286,98,331.225401962928
"122","LDR18",1300,98,331.225401962928
"123","LDR18",1314,98,331.225401962928
"11","LDR19",1328,85,287.287338437234
"125","LDR19",1341,85,287.287338437234
"126","LDR19",1355,85,287.287338437234
"127","LDR19",1369,85,287.287338437234
"128","LDR19",1383,85,287.287338437234
"129","LDR19",1397,85,287.287338437234
"130","LDR19",1411,85,287.287338437234
"131","LDR19",1424,85,287.287338437234
"132","LDR19",1438,85,287.287338437234
"133","LDR19",1452,85,287.287338437234
"134","LDR19",1466,85,287.287338437234
"135","LDR19",1480,85,287.287338437234
"136","LDR19",1494,85,287.287338437234
"137","LDR19",1507,85,287.287338437234
"138","LDR19",1521,85,287.287338437234
"139","LDR19",1535,85,287.287338437234
"140","LDR19",1549,85,287.287338437234
"141","LDR19",1563,85,287.287338437234
"142","LDR19",1577,85,287.287338437234
"143","LDR19",1590,85,287.287338437234
"144","LDR19",1604,85,287.287338437234
"145","LDR19",1618,85,287.287338437234
"146","LDR19",1632,85,287.287338437234
"147","LDR19",1646,85,287.287338437234
"27","LDR19",1660,85,287.287338437234
"28","LDR19",1673,85,287.287338437234
"150","LDR19",1687,85,287.287338437234
"151","LDR19",1701,85,287.287338437234
"152","LDR19",1715,85,287.287338437234
"153","LDR19",1729,85,287.287338437234
"33","LDR19",1743,85,287.287338437234
"155","LDR19",1756,85,287.287338437234
"35","LDR19",1770,85,287.287338437234
"157","LDR19",1784,85,287.287338437234
"37","LDR19",1798,85,287.287338437234
"38","LDR19",1812,85,287.287338437234
"39","LDR19",1826,85,287.287338437234
"40","LDR19",1840,85,287.287338437234
"41","LDR19",1853,85,287.287338437234
"42","LDR19",1867,85,287.287338437234
"164","LDR19",1881,85,287.287338437234
"44","LDR19",1895,85,287.287338437234
"45","LDR19",1909,85,287.287338437234
"167","LDR19",1923,85,287.287338437234
"47","LDR19",1936,85,287.287338437234
"169","LDR19",1950,85,287.287338437234
"170","LDR19",1964,85,287.287338437234
"50","LDR19",1978,85,287.287338437234
"51","LDR19",1992,85,287.287338437234
"173","LDR19",2006,85,287.287338437234
"174","LDR19",2019,85,287.287338437234
"175","LDR19",2033,85,287.287338437234
"55","LDR19",2047,85,287.287338437234
"177","LDR19",2061,85,287.287338437234
"178","LDR19",2075,85,287.287338437234
"179","LDR19",2089,85,287.287338437234
"180","LDR19",2102,85,287.287338437234
"13","LDR20",2116,72,243.349274911539
"61","LDR20",2130,72,243.349274911539
"183","LDR20",2144,72,243.349274911539
"184","LDR20",2158,72,243.349274911539
"185","LDR20",2172,72,243.349274911539
"186","LDR20",2185,72,243.349274911539
"187","LDR20",2199,72,243.349274911539
"188","LDR20",2213,72,243.349274911539
"189","LDR20",2227,72,243.349274911539
"190","LDR20",2241,72,243.349274911539
"191","LDR20",2255,72,243.349274911539
"192","LDR20",2268,72,243.349274911539
"72","LDR20",2282,72,243.349274911539
"194","LDR20",2296,72,243.349274911539
"195","LDR20",2310,72,243.349274911539
"196","LDR20",2324,72,243.349274911539
"197","LDR20",2338,72,243.349274911539
"198","LDR20",2351,72,243.349274911539
"199","LDR20",2365,72,243.349274911539
"200","LDR20",2379,72,243.349274911539
"201","LDR20",2393,72,243.349274911539
"202","LDR20",2407,72,243.349274911539
"203","LDR20",2421,72,243.349274911539
"204","LDR20",2434,72,243.349274911539
"205","LDR20",2448,72,243.349274911539
"206","LDR20",2462,72,243.349274911539
"207","LDR20",2476,72,243.349274911539
"208","LDR20",2490,72,243.349274911539
"209","LDR20",2504,72,243.349274911539
"210","LDR20",2517,72,243.349274911539
"211","LDR20",2531,72,243.349274911539
"212","LDR20",2545,72,243.349274911539
"92","LDR20",2559,72,243.349274911539
"214","LDR20",2573,72,243.349274911539
"215","LDR20",2587,72,243.349274911539
"216","LDR20",2600,72,243.349274911539
"217","LDR20",2614,72,243.349274911539
"218","LDR20",2628,72,243.349274911539
"219","LDR20",2642,72,243.349274911539
"220","LDR20",2656,72,243.349274911539
"221","LDR20",2670,72,243.349274911539
"222","LDR20",2683,72,243.349274911539
"223","LDR20",2697,72,243.349274911539
"224","LDR20",2711,72,243.349274911539
"225","LDR20",2725,72,243.349274911539
"226","LDR20",2739,72,243.349274911539
"227","LDR20",2753,72,243.349274911539
"228","LDR20",2766,72,243.349274911539
"229","LDR20",2780,72,243.349274911539
"230","LDR20",2794,72,243.349274911539
"231","LDR20",2808,72,243.349274911539
"232","LDR20",2822,72,243.349274911539
"233","LDR20",2836,72,243.349274911539
"234","LDR20",2849,72,243.349274911539
"235","LDR20",2863,72,243.349274911539
"236","LDR20",2877,72,243.349274911539
"237","LDR20",2891,72,243.349274911539
"238","LDR20",2905,72,243.349274911539
"239","LDR20",2919,72,243.349274911539
"240","LDR20",2932,72,243.349274911539
"241","LDR20",2946,72,243.349274911539
"242","LDR20",2960,72,243.349274911539
"243","LDR20",2974,72,243.349274911539
"244","LDR20",2988,72,243.349274911539
