Timestamp, LDR1, LDR2, LDR3, LDR4, LDR5, LDR6, LDR7, LDR8, LDR9, LDR10, LDR11, LDR12, LDR13, LDR14, LDR15, LDR16, LDR17, LDR18, LDR19, LDR20, LDR21, LDR22, LDR23, LDR24, LDR25
0,85,107,585,3925,4059,4087,4088,4085,4047,4038,4034,4036,4037,4038,4032,4034,4090,4093,4086,4089,4094,4094,4087,4085,4090
14,85,120,466,3925,4058,4086,4088,4085,4045,4036,4032,4034,4035,4035,4030,4033,4089,4093,4086,4088,4094,4094,4087,4085,4091
28,85,106,432,3922,4056,4086,4088,4085,4043,4035,4031,4032,4032,4033,4028,4031,4090,4092,4085,4089,4093,4094,4087,4085,4092
42,85,107,431,3915,4053,4084,4088,4084,4041,4032,4029,4030,4030,4031,4024,4029,4089,4092,4086,4089,4093,4093,4088,4085,4093
55,84,107,437,3906,4048,4083,4087,4084,4039,4030,4027,4028,4027,4028,4021,4025,4088,4092,4085,4089,4093,4094,4088,4086,4093
69,84,107,439,3879,4041,4081,4087,4083,4039,4029,4026,4028,4028,4030,4023,4027,4089,4092,4087,4089,4093,4094,4087,4088,4094
83,84,106,441,3858,4037,4079,4085,4081,4039,4028,4026,4028,4027,4029,4023,4026,4090,4093,4087,4088,4093,4094,4087,4090,4094
97,84,105,444,2823,4010,4073,4081,4079,4038,4026,4026,4028,4028,4029,4023,4024,4089,4093,4087,4088,4093,4094,4090,4091,4095
111,84,105,445,658,3938,4061,4077,4079,4036,4024,4021,4024,4026,4025,4019,4027,4089,4093,4088,4089,4092,4094,4091,4092,4095
125,84,104,442,693,3859,4043,4072,4073,4038,4020,4018,4022,4026,4027,4019,4027,4091,4094,4088,4089,4094,4094,4091,4093,4095
139,84,103,439,620,497,3953,4048,4053,4034,4020,4020,4018,4021,4024,4021,4024,4091,4094,4090,4091,4094,4095,4093,4094,4095
152,84,103,441,703,460,3438,3991,4034,4023,4005,4003,4008,4008,4013,4012,4015,4092,4095,4091,4093,4095,4095,4094,4095,4095
166,84,103,441,654,486,921,3850,3987,4003,3982,3984,3989,3989,3995,3991,3995,4092,4095,4092,4094,4095,4095,4094,4095,4095
180,84,102,441,673,432,888,965,3838,3973,3943,3955,3960,3963,3965,3960,3963,4092,4095,4093,4094,4095,4095,4095,4095,4095
194,84,102,442,649,628,775,704,1085,3838,3825,3864,3884,3893,3895,3888,3891,4091,4095,4094,4095,4095,4095,4095,4095,4095
208,84,102,444,640,418,861,733,621,739,3508,3749,3787,3800,3805,3800,3800,4091,4095,4094,4095,4095,4095,4095,4095,4095
222,84,101,445,659,460,962,693,320,390,1780,3456,3663,3702,3712,3711,3714,4090,4095,4094,4095,4095,4095,4095,4095,4095
235,84,101,446,612,409,872,679,400,1076,401,2979,3506,3608,3630,3631,3631,4089,4095,4094,4095,4095,4095,4095,4095,4095
249,84,101,446,653,408,870,709,302,598,344,332,3159,3471,3533,3543,3548,4088,4095,4095,4095,4095,4095,4095,4095,4095
263,84,101,447,635,413,907,746,280,329,352,374,935,3234,3449,3466,3474,4087,4095,4095,4095,4095,4095,4095,4095,4095
277,84,101,444,648,423,875,734,310,267,297,478,282,3078,3397,3436,3453,4087,4095,4095,4095,4095,4095,4095,4095,4095
291,84,101,442,660,414,803,781,256,284,377,251,296,443,3194,3370,3399,4087,4095,4095,4095,4095,4095,4095,4095,4095
305,84,101,443,559,421,964,701,318,258,346,280,266,284,3122,3331,3373,4086,4095,4095,4095,4095,4095,4095,4095,4095
318,84,101,444,712,415,758,757,254,235,325,338,249,267,1618,3174,3318,4085,4095,4095,4095,4095,4095,4095,4095,4095
332,84,100,446,682,414,834,712,266,237,336,301,253,230,180,3095,3299,4085,4095,4095,4095,4095,4095,4095,4095,4095
346,84,100,445,671,413,759,728,242,260,352,272,290,221,116,3016,3254,4085,4095,4095,4095,4095,4095,4095,4095,4095
360,84,100,444,686,411,897,783,260,240,333,281,237,224,140,2771,3185,4084,4095,4095,4095,4095,4095,4095,4095,4095
374,84,100,447,698,419,886,763,272,394,336,271,248,259,120,745,3039,4082,4095,4095,4095,4095,4095,4095,4095,4095
388,84,100,447,692,416,890,717,253,264,356,274,254,278,123,259,3011,4081,4095,4095,4095,4095,4095,4095,4095,4095
401,84,99,447,705,427,900,724,259,226,338,278,314,224,122,212,2984,4079,4095,4095,4095,4095,4095,4095,4095,4095
415,84,99,446,705,440,921,968,380,240,339,285,254,223,126,213,2939,4075,4094,4095,4095,4095,4095,4095,4095,4095
429,84,99,445,825,388,908,967,272,228,310,288,248,215,113,170,2818,4070,4094,4095,4095,4095,4095,4095,4095,4095
443,84,99,446,708,412,939,795,265,238,333,297,290,261,111,194,2334,4061,4094,4095,4095,4095,4095,4095,4095,4095
457,84,99,447,782,403,952,773,258,222,340,281,275,199,114,202,748,4038,4094,4095,4095,4095,4095,4095,4095,4095
471,84,99,448,730,432,974,726,257,285,343,360,261,214,113,193,523,4031,4094,4095,4095,4095,4095,4095,4095,4095
484,84,99,449,737,430,960,710,252,231,372,295,260,217,120,183,469,4024,4094,4095,4095,4095,4095,4095,4095,4095
498,84,99,450,740,434,997,723,250,226,344,286,248,231,112,187,360,4015,4094,4095,4095,4095,4095,4095,4095,4095
512,84,99,450,747,433,986,775,250,227,354,335,247,235,111,196,336,4002,4094,4095,4095,4095,4095,4095,4095,4095
526,84,99,450,742,438,921,786,254,224,347,335,260,239,111,166,300,3985,4093,4095,4095,4095,4095,4095,4095,4095
540,84,99,450,836,440,976,798,252,224,348,293,270,228,105,190,285,3965,4091,4094,4095,4095,4095,4095,4095,4095
554,84,99,452,748,440,936,806,253,221,346,296,271,233,114,185,278,3935,4090,4094,4095,4095,4095,4095,4095,4095
567,84,99,451,751,433,914,784,252,224,335,295,219,249,117,193,277,3892,4088,4094,4095,4095,4095,4095,4095,4095
581,84,99,427,751,436,914,734,266,232,344,310,254,225,112,192,272,2224,4067,4094,4095,4095,4095,4095,4095,4095
595,84,98,435,765,437,999,793,254,237,342,294,273,223,112,200,301,711,4052,4094,4095,4095,4095,4095,4095,4095
609,84,98,431,790,435,1033,831,249,223,371,294,266,227,114,187,266,473,4048,4094,4095,4095,4095,4095,4095,4095
623,84,98,434,784,440,1033,826,246,222,343,291,264,223,110,193,281,477,4046,4094,4095,4095,4095,4095,4095,4095
637,84,98,436,774,441,1054,677,268,223,358,291,249,219,125,187,289,430,4043,4094,4095,4095,4095,4095,4095,4095
650,84,98,435,768,448,1076,810,311,225,353,297,270,216,111,188,300,431,4040,4094,4095,4095,4095,4095,4095,4095
664,84,98,434,797,436,1093,896,292,225,339,279,273,224,111,189,254,420,4035,4094,4095,4095,4095,4095,4095,4095
678,84,98,434,808,453,1079,825,258,220,350,297,272,219,110,200,253,413,4030,4094,4095,4095,4095,4095,4095,4095
692,84,98,436,827,453,1122,845,252,227,359,292,261,224,109,196,289,395,4023,4093,4095,4095,4095,4095,4095,4095
706,84,98,437,834,456,1067,825,254,218,331,293,282,221,110,197,300,425,4014,4092,4094,4095,4095,4095,4095,4095
720,84,98,437,825,448,1046,840,243,219,341,296,273,218,115,196,290,422,4003,4091,4095,4095,4095,4095,4095,4095
733,84,98,437,844,452,1125,885,268,223,360,299,283,222,110,196,289,426,3993,4090,4095,4095,4095,4095,4095,4095
