Date,Fortynding,Vægt før,Vægt efter,Diff.,g/mL,AAØ log,Average
18.01,100,1.762,1.782,0.02,4,3.38,3.69
18.01,80,1.7742,1.7916,0.0174,3.48,2.704,3.09200000000001
18.01,60,1.7615,1.7724,0.0109,2.18,2.028,2.10400000000002
18.01,50,1.767,1.7764,0.0094,1.88,1.69,1.78500000000003
18.01,40,1.7679,1.7763,0.0084,1.68,1.352,1.516
18.01,20,1.7608,1.7654,0.0046,0.92,0.676,0.797999999999994
18.01,10,1.7568,1.757,0.0002,0.04,0.338,0.188999999999998
20.02,100,1.7763,1.8023,0.026,5.2,,
20.02,100,1.7756,1.8016,0.026,5.2,,
20.02,80,1.7726,1.792,0.0194,3.88,,
20.02,70,1.7664,1.7849,0.0185,3.7,,
20.02,60,1.761,1.7768,0.0158,3.16,,
20.02,50,1.7626,1.7748,0.0122,2.44,,
20.02,40,1.7681,1.7793,0.0112,2.24,,
20.02,30,1.7768,1.7857,0.0089,1.78,,
20.02,20,1.7616,1.7671,0.0055,1.1,,
20.02,10,1.7637,1.7659,0.0022,0.44,,
28.03,100,1.7314,1.7527,0.0213,4.26,4.36,
28.03,80,1.7432,1.7597,0.0165,3.30,3.49,
28.03,70,1.7232,1.7388,0.0156,3.12,3.05,
28.03,60,1.7228,1.7364,0.0136,2.72,2.62,
28.03,50,1.7421,1.7525,0.0104,2.08,2.18,
28.03,40,1.7693,1.7792,0.0099,1.98,1.74,
28.03,30,1.7597,1.7668,0.0071,1.42,1.31,
28.03,20,1.7605,1.7653,0.0048,0.96,0.87,
28.03,10,1.7619,1.7646,0.0027,0.54,0.44,
